country,year,tiv
Uruguay,1950,
Uruguay,1951,
Uruguay,1952,
Uruguay,1953,
Uruguay,1954,
Uruguay,1955,
Uruguay,1956,
Uruguay,1957,
Uruguay,1958,
Uruguay,1959,
Uruguay,1960,6
Uruguay,1961,
Uruguay,1962,
Uruguay,1963,
Uruguay,1964,
Uruguay,1965,
Uruguay,1966,
Uruguay,1967,
Uruguay,1968,
Uruguay,1969,
Uruguay,1970,
Uruguay,1971,
Uruguay,1972,
Uruguay,1973,
Uruguay,1974,
Uruguay,1975,
Uruguay,1976,
Uruguay,1977,
Uruguay,1978,
Uruguay,1979,
Uruguay,1980,
Uruguay,1981,
Uruguay,1982,
Uruguay,1983,
Uruguay,1984,
Uruguay,1985,
Uruguay,1986,
Uruguay,1987,
Uruguay,1988,
Uruguay,1989,
Uruguay,1990,
Uruguay,1991,
Uruguay,1992,
Uruguay,1993,
Uruguay,1994,
Uruguay,1995,
Uruguay,1996,
Uruguay,1997,
Uruguay,1998,
Uruguay,1999,
Uruguay,2000,1
Uruguay,2001,
Uruguay,2002,
Uruguay,2003,
Uruguay,2004,
Uruguay,2005,
Uruguay,2006,
Uruguay,2007,
Uruguay,2008,
Uruguay,2009,
Uruguay,2010,
Uruguay,2011,
Uruguay,2012,
Uruguay,2013,
Uruguay,2014,
Uruguay,2015,
Uruguay,2016,
Uruguay,2017,
Uruguay,2018,
Uruguay,2019,
Uruguay,2020,
Uruguay,2021,
Uruguay,2022,
Uruguay,2023,
Uruguay,2024,
Uruguay,2025,
