country,year,tiv
Uzbekistan,1950,
Uzbekistan,1951,
Uzbekistan,1952,
Uzbekistan,1953,
Uzbekistan,1954,
Uzbekistan,1955,
Uzbekistan,1956,
Uzbekistan,1957,
Uzbekistan,1958,
Uzbekistan,1959,
Uzbekistan,1960,
Uzbekistan,1961,
Uzbekistan,1962,
Uzbekistan,1963,
Uzbekistan,1964,
Uzbekistan,1965,
Uzbekistan,1966,
Uzbekistan,1967,
Uzbekistan,1968,
Uzbekistan,1969,
Uzbekistan,1970,
Uzbekistan,1971,
Uzbekistan,1972,
Uzbekistan,1973,
Uzbekistan,1974,
Uzbekistan,1975,
Uzbekistan,1976,
Uzbekistan,1977,
Uzbekistan,1978,
Uzbekistan,1979,
Uzbekistan,1980,
Uzbekistan,1981,
Uzbekistan,1982,
Uzbekistan,1983,
Uzbekistan,1984,
Uzbekistan,1985,
Uzbekistan,1986,
Uzbekistan,1987,
Uzbekistan,1988,
Uzbekistan,1989,
Uzbekistan,1990,
Uzbekistan,1991,
Uzbekistan,1992,
Uzbekistan,1993,
Uzbekistan,1994,
Uzbekistan,1995,
Uzbekistan,1996,
Uzbekistan,1997,
Uzbekistan,1998,
Uzbekistan,1999,
Uzbekistan,2000,
Uzbekistan,2001,
Uzbekistan,2002,
Uzbekistan,2003,252
Uzbekistan,2004,126
Uzbekistan,2005,4
Uzbekistan,2006,
Uzbekistan,2007,
Uzbekistan,2008,
Uzbekistan,2009,209
Uzbekistan,2010,209
Uzbekistan,2011,209
Uzbekistan,2012,
Uzbekistan,2013,
Uzbekistan,2014,
Uzbekistan,2015,34
Uzbekistan,2016,68
Uzbekistan,2017,
Uzbekistan,2018,
Uzbekistan,2019,
Uzbekistan,2020,
Uzbekistan,2021,
Uzbekistan,2022,
Uzbekistan,2023,
Uzbekistan,2024,
Uzbekistan,2025,
