country,year,tiv
Venezuela,1950,
Venezuela,1951,
Venezuela,1952,
Venezuela,1953,
Venezuela,1954,
Venezuela,1955,
Venezuela,1956,
Venezuela,1957,
Venezuela,1958,
Venezuela,1959,
Venezuela,1960,
Venezuela,1961,
Venezuela,1962,
Venezuela,1963,
Venezuela,1964,
Venezuela,1965,
Venezuela,1966,
Venezuela,1967,
Venezuela,1968,
Venezuela,1969,16
Venezuela,1970,
Venezuela,1971,
Venezuela,1972,
Venezuela,1973,
Venezuela,1974,
Venezuela,1975,13
Venezuela,1976,
Venezuela,1977,
Venezuela,1978,
Venezuela,1979,
Venezuela,1980,
Venezuela,1981,
Venezuela,1982,
Venezuela,1983,
Venezuela,1984,
Venezuela,1985,
Venezuela,1986,
Venezuela,1987,0
Venezuela,1988,
Venezuela,1989,
Venezuela,1990,
Venezuela,1991,
Venezuela,1992,
Venezuela,1993,
Venezuela,1994,
Venezuela,1995,
Venezuela,1996,
Venezuela,1997,
Venezuela,1998,
Venezuela,1999,
Venezuela,2000,
Venezuela,2001,
Venezuela,2002,
Venezuela,2003,
Venezuela,2004,1
Venezuela,2005,
Venezuela,2006,7
Venezuela,2007,
Venezuela,2008,3
Venezuela,2009,40
Venezuela,2010,
Venezuela,2011,
Venezuela,2012,
Venezuela,2013,
Venezuela,2014,
Venezuela,2015,
Venezuela,2016,
Venezuela,2017,
Venezuela,2018,
Venezuela,2019,
Venezuela,2020,
Venezuela,2021,
Venezuela,2022,
Venezuela,2023,
Venezuela,2024,
Venezuela,2025,
