country,year,tiv
Yugoslavia,1950,
Yugoslavia,1951,
Yugoslavia,1952,
Yugoslavia,1953,
Yugoslavia,1954,
Yugoslavia,1955,
Yugoslavia,1956,17
Yugoslavia,1957,
Yugoslavia,1958,71
Yugoslavia,1959,
Yugoslavia,1960,6
Yugoslavia,1961,
Yugoslavia,1962,
Yugoslavia,1963,
Yugoslavia,1964,23
Yugoslavia,1965,23
Yugoslavia,1966,
Yugoslavia,1967,
Yugoslavia,1968,
Yugoslavia,1969,21
Yugoslavia,1970,3
Yugoslavia,1971,26
Yugoslavia,1972,
Yugoslavia,1973,35
Yugoslavia,1974,
Yugoslavia,1975,14
Yugoslavia,1976,65
Yugoslavia,1977,101
Yugoslavia,1978,60
Yugoslavia,1979,40
Yugoslavia,1980,103
Yugoslavia,1981,103
Yugoslavia,1982,22
Yugoslavia,1983,53
Yugoslavia,1984,77
Yugoslavia,1985,94
Yugoslavia,1986,8
Yugoslavia,1987,
Yugoslavia,1988,14
Yugoslavia,1989,18
Yugoslavia,1990,80
Yugoslavia,1991,480
Yugoslavia,1992,
Yugoslavia,1993,
Yugoslavia,1994,
Yugoslavia,1995,
Yugoslavia,1996,
Yugoslavia,1997,
Yugoslavia,1998,
Yugoslavia,1999,
Yugoslavia,2000,
Yugoslavia,2001,
Yugoslavia,2002,
Yugoslavia,2003,
Yugoslavia,2004,
Yugoslavia,2005,
Yugoslavia,2006,
Yugoslavia,2007,
Yugoslavia,2008,
Yugoslavia,2009,
Yugoslavia,2010,
Yugoslavia,2011,
Yugoslavia,2012,
Yugoslavia,2013,
Yugoslavia,2014,
Yugoslavia,2015,
Yugoslavia,2016,
Yugoslavia,2017,
Yugoslavia,2018,
Yugoslavia,2019,
Yugoslavia,2020,
Yugoslavia,2021,
Yugoslavia,2022,
Yugoslavia,2023,
Yugoslavia,2024,
Yugoslavia,2025,
