country,year,tiv
Zambia,1950,
Zambia,1951,
Zambia,1952,
Zambia,1953,
Zambia,1954,
Zambia,1955,
Zambia,1956,
Zambia,1957,
Zambia,1958,
Zambia,1959,
Zambia,1960,
Zambia,1961,
Zambia,1962,
Zambia,1963,
Zambia,1964,
Zambia,1965,
Zambia,1966,
Zambia,1967,
Zambia,1968,
Zambia,1969,
Zambia,1970,
Zambia,1971,
Zambia,1972,
Zambia,1973,
Zambia,1974,
Zambia,1975,
Zambia,1976,
Zambia,1977,
Zambia,1978,
Zambia,1979,
Zambia,1980,
Zambia,1981,
Zambia,1982,
Zambia,1983,
Zambia,1984,
Zambia,1985,
Zambia,1986,
Zambia,1987,
Zambia,1988,
Zambia,1989,
Zambia,1990,2
Zambia,1991,
Zambia,1992,
Zambia,1993,
Zambia,1994,
Zambia,1995,
Zambia,1996,
Zambia,1997,
Zambia,1998,
Zambia,1999,
Zambia,2000,
Zambia,2001,
Zambia,2002,
Zambia,2003,
Zambia,2004,
Zambia,2005,
Zambia,2006,
Zambia,2007,
Zambia,2008,
Zambia,2009,
Zambia,2010,
Zambia,2011,
Zambia,2012,
Zambia,2013,
Zambia,2014,
Zambia,2015,
Zambia,2016,
Zambia,2017,
Zambia,2018,
Zambia,2019,
Zambia,2020,
Zambia,2021,
Zambia,2022,
Zambia,2023,
Zambia,2024,
Zambia,2025,
