country,year,tiv
Zimbabwe,1950,
Zimbabwe,1951,
Zimbabwe,1952,
Zimbabwe,1953,
Zimbabwe,1954,
Zimbabwe,1955,
Zimbabwe,1956,
Zimbabwe,1957,
Zimbabwe,1958,
Zimbabwe,1959,
Zimbabwe,1960,
Zimbabwe,1961,
Zimbabwe,1962,
Zimbabwe,1963,
Zimbabwe,1964,1
Zimbabwe,1965,
Zimbabwe,1966,
Zimbabwe,1967,
Zimbabwe,1968,
Zimbabwe,1969,
Zimbabwe,1970,
Zimbabwe,1971,
Zimbabwe,1972,
Zimbabwe,1973,
Zimbabwe,1974,
Zimbabwe,1975,
Zimbabwe,1976,
Zimbabwe,1977,
Zimbabwe,1978,
Zimbabwe,1979,
Zimbabwe,1980,
Zimbabwe,1981,
Zimbabwe,1982,
Zimbabwe,1983,
Zimbabwe,1984,
Zimbabwe,1985,
Zimbabwe,1986,
Zimbabwe,1987,
Zimbabwe,1988,
Zimbabwe,1989,
Zimbabwe,1990,
Zimbabwe,1991,
Zimbabwe,1992,
Zimbabwe,1993,
Zimbabwe,1994,
Zimbabwe,1995,
Zimbabwe,1996,
Zimbabwe,1997,
Zimbabwe,1998,
Zimbabwe,1999,
Zimbabwe,2000,
Zimbabwe,2001,4
Zimbabwe,2002,
Zimbabwe,2003,
Zimbabwe,2004,
Zimbabwe,2005,
Zimbabwe,2006,
Zimbabwe,2007,
Zimbabwe,2008,
Zimbabwe,2009,
Zimbabwe,2010,
Zimbabwe,2011,
Zimbabwe,2012,
Zimbabwe,2013,
Zimbabwe,2014,
Zimbabwe,2015,
Zimbabwe,2016,
Zimbabwe,2017,
Zimbabwe,2018,
Zimbabwe,2019,
Zimbabwe,2020,
Zimbabwe,2021,
Zimbabwe,2022,
Zimbabwe,2023,
Zimbabwe,2024,
Zimbabwe,2025,
