country,year,tiv
unknown supplier(s),1950,23
unknown supplier(s),1951,12
unknown supplier(s),1952,
unknown supplier(s),1953,
unknown supplier(s),1954,
unknown supplier(s),1955,2
unknown supplier(s),1956,17
unknown supplier(s),1957,17
unknown supplier(s),1958,17
unknown supplier(s),1959,17
unknown supplier(s),1960,17
unknown supplier(s),1961,19
unknown supplier(s),1962,5
unknown supplier(s),1963,1
unknown supplier(s),1964,1
unknown supplier(s),1965,14
unknown supplier(s),1966,2
unknown supplier(s),1967,12
unknown supplier(s),1968,
unknown supplier(s),1969,0
unknown supplier(s),1970,
unknown supplier(s),1971,4
unknown supplier(s),1972,12
unknown supplier(s),1973,8
unknown supplier(s),1974,7
unknown supplier(s),1975,15
unknown supplier(s),1976,9
unknown supplier(s),1977,1
unknown supplier(s),1978,12
unknown supplier(s),1979,30
unknown supplier(s),1980,35
unknown supplier(s),1981,38
unknown supplier(s),1982,22
unknown supplier(s),1983,2
unknown supplier(s),1984,2
unknown supplier(s),1985,8
unknown supplier(s),1986,35
unknown supplier(s),1987,3
unknown supplier(s),1988,8
unknown supplier(s),1989,6
unknown supplier(s),1990,11
unknown supplier(s),1991,9
unknown supplier(s),1992,3
unknown supplier(s),1993,41
unknown supplier(s),1994,56
unknown supplier(s),1995,1
unknown supplier(s),1996,67
unknown supplier(s),1997,11
unknown supplier(s),1998,4
unknown supplier(s),1999,3
unknown supplier(s),2000,12
unknown supplier(s),2001,17
unknown supplier(s),2002,19
unknown supplier(s),2003,12
unknown supplier(s),2004,15
unknown supplier(s),2005,53
unknown supplier(s),2006,9
unknown supplier(s),2007,0
unknown supplier(s),2008,36
unknown supplier(s),2009,9
unknown supplier(s),2010,31
unknown supplier(s),2011,8
unknown supplier(s),2012,14
unknown supplier(s),2013,10
unknown supplier(s),2014,26
unknown supplier(s),2015,12
unknown supplier(s),2016,15
unknown supplier(s),2017,6
unknown supplier(s),2018,8
unknown supplier(s),2019,12
unknown supplier(s),2020,3
unknown supplier(s),2021,32
unknown supplier(s),2022,42
unknown supplier(s),2023,131
unknown supplier(s),2024,22
unknown supplier(s),2025,51
