country,year,tiv
ANC (South Africa)*,1950,
ANC (South Africa)*,1951,
ANC (South Africa)*,1952,
ANC (South Africa)*,1953,
ANC (South Africa)*,1954,
ANC (South Africa)*,1955,
ANC (South Africa)*,1956,
ANC (South Africa)*,1957,
ANC (South Africa)*,1958,
ANC (South Africa)*,1959,
ANC (South Africa)*,1960,
ANC (South Africa)*,1961,
ANC (South Africa)*,1962,
ANC (South Africa)*,1963,
ANC (South Africa)*,1964,
ANC (South Africa)*,1965,
ANC (South Africa)*,1966,
ANC (South Africa)*,1967,
ANC (South Africa)*,1968,
ANC (South Africa)*,1969,
ANC (South Africa)*,1970,
ANC (South Africa)*,1971,
ANC (South Africa)*,1972,
ANC (South Africa)*,1973,
ANC (South Africa)*,1974,
ANC (South Africa)*,1975,
ANC (South Africa)*,1976,
ANC (South Africa)*,1977,
ANC (South Africa)*,1978,
ANC (South Africa)*,1979,
ANC (South Africa)*,1980,
ANC (South Africa)*,1981,
ANC (South Africa)*,1982,
ANC (South Africa)*,1983,
ANC (South Africa)*,1984,
ANC (South Africa)*,1985,
ANC (South Africa)*,1986,
ANC (South Africa)*,1987,
ANC (South Africa)*,1988,0
ANC (South Africa)*,1989,
ANC (South Africa)*,1990,
ANC (South Africa)*,1991,
ANC (South Africa)*,1992,
ANC (South Africa)*,1993,
ANC (South Africa)*,1994,
ANC (South Africa)*,1995,
ANC (South Africa)*,1996,
ANC (South Africa)*,1997,
ANC (South Africa)*,1998,
ANC (South Africa)*,1999,
ANC (South Africa)*,2000,
ANC (South Africa)*,2001,
ANC (South Africa)*,2002,
ANC (South Africa)*,2003,
ANC (South Africa)*,2004,
ANC (South Africa)*,2005,
ANC (South Africa)*,2006,
ANC (South Africa)*,2007,
ANC (South Africa)*,2008,
ANC (South Africa)*,2009,
ANC (South Africa)*,2010,
ANC (South Africa)*,2011,
ANC (South Africa)*,2012,
ANC (South Africa)*,2013,
ANC (South Africa)*,2014,
ANC (South Africa)*,2015,
ANC (South Africa)*,2016,
ANC (South Africa)*,2017,
ANC (South Africa)*,2018,
ANC (South Africa)*,2019,
ANC (South Africa)*,2020,
ANC (South Africa)*,2021,
ANC (South Africa)*,2022,
ANC (South Africa)*,2023,
ANC (South Africa)*,2024,
ANC (South Africa)*,2025,
