country,year,tiv
Albania,1950,20
Albania,1951,10
Albania,1952,21
Albania,1953,35
Albania,1954,37
Albania,1955,98
Albania,1956,74
Albania,1957,54
Albania,1958,59
Albania,1959,141
Albania,1960,69
Albania,1961,74
Albania,1962,42
Albania,1963,12
Albania,1964,8
Albania,1965,140
Albania,1966,74
Albania,1967,163
Albania,1968,265
Albania,1969,297
Albania,1970,250
Albania,1971,332
Albania,1972,134
Albania,1973,106
Albania,1974,137
Albania,1975,53
Albania,1976,5
Albania,1977,7
Albania,1978,5
Albania,1979,
Albania,1980,
Albania,1981,
Albania,1982,
Albania,1983,
Albania,1984,
Albania,1985,
Albania,1986,
Albania,1987,
Albania,1988,
Albania,1989,
Albania,1990,
Albania,1991,
Albania,1992,
Albania,1993,
Albania,1994,
Albania,1995,26
Albania,1996,
Albania,1997,
Albania,1998,
Albania,1999,
Albania,2000,
Albania,2001,
Albania,2002,
Albania,2003,2
Albania,2004,
Albania,2005,7
Albania,2006,
Albania,2007,5
Albania,2008,
Albania,2009,
Albania,2010,
Albania,2011,
Albania,2012,15
Albania,2013,7
Albania,2014,7
Albania,2015,7
Albania,2016,
Albania,2017,1
Albania,2018,1
Albania,2019,5
Albania,2020,12
Albania,2021,1
Albania,2022,
Albania,2023,1
Albania,2024,38
Albania,2025,23
