country,year,tiv
Algeria,1950,
Algeria,1951,
Algeria,1952,
Algeria,1953,
Algeria,1954,
Algeria,1955,
Algeria,1956,
Algeria,1957,
Algeria,1958,
Algeria,1959,
Algeria,1960,
Algeria,1961,7
Algeria,1962,63
Algeria,1963,90
Algeria,1964,181
Algeria,1965,354
Algeria,1966,439
Algeria,1967,525
Algeria,1968,58
Algeria,1969,79
Algeria,1970,14
Algeria,1971,14
Algeria,1972,180
Algeria,1973,110
Algeria,1974,13
Algeria,1975,56
Algeria,1976,130
Algeria,1977,1052
Algeria,1978,1267
Algeria,1979,1823
Algeria,1980,1337
Algeria,1981,1381
Algeria,1982,1352
Algeria,1983,700
Algeria,1984,660
Algeria,1985,368
Algeria,1986,163
Algeria,1987,384
Algeria,1988,319
Algeria,1989,455
Algeria,1990,737
Algeria,1991,1039
Algeria,1992,23
Algeria,1993,22
Algeria,1994,197
Algeria,1995,312
Algeria,1996,83
Algeria,1997,37
Algeria,1998,98
Algeria,1999,388
Algeria,2000,405
Algeria,2001,539
Algeria,2002,252
Algeria,2003,204
Algeria,2004,251
Algeria,2005,159
Algeria,2006,340
Algeria,2007,507
Algeria,2008,1522
Algeria,2009,1076
Algeria,2010,831
Algeria,2011,1133
Algeria,2012,662
Algeria,2013,361
Algeria,2014,715
Algeria,2015,897
Algeria,2016,2916
Algeria,2017,1158
Algeria,2018,1278
Algeria,2019,167
Algeria,2020,601
Algeria,2021,164
Algeria,2022,450
Algeria,2023,394
Algeria,2024,205
Algeria,2025,108
