country,year,tiv
Amal (Lebanon)*,1950,
Amal (Lebanon)*,1951,
Amal (Lebanon)*,1952,
Amal (Lebanon)*,1953,
Amal (Lebanon)*,1954,
Amal (Lebanon)*,1955,
Amal (Lebanon)*,1956,
Amal (Lebanon)*,1957,
Amal (Lebanon)*,1958,
Amal (Lebanon)*,1959,
Amal (Lebanon)*,1960,
Amal (Lebanon)*,1961,
Amal (Lebanon)*,1962,
Amal (Lebanon)*,1963,
Amal (Lebanon)*,1964,
Amal (Lebanon)*,1965,
Amal (Lebanon)*,1966,
Amal (Lebanon)*,1967,
Amal (Lebanon)*,1968,
Amal (Lebanon)*,1969,
Amal (Lebanon)*,1970,
Amal (Lebanon)*,1971,
Amal (Lebanon)*,1972,
Amal (Lebanon)*,1973,
Amal (Lebanon)*,1974,
Amal (Lebanon)*,1975,
Amal (Lebanon)*,1976,
Amal (Lebanon)*,1977,
Amal (Lebanon)*,1978,
Amal (Lebanon)*,1979,
Amal (Lebanon)*,1980,
Amal (Lebanon)*,1981,
Amal (Lebanon)*,1982,
Amal (Lebanon)*,1983,
Amal (Lebanon)*,1984,
Amal (Lebanon)*,1985,32
Amal (Lebanon)*,1986,31
Amal (Lebanon)*,1987,
Amal (Lebanon)*,1988,
Amal (Lebanon)*,1989,
Amal (Lebanon)*,1990,
Amal (Lebanon)*,1991,
Amal (Lebanon)*,1992,
Amal (Lebanon)*,1993,
Amal (Lebanon)*,1994,
Amal (Lebanon)*,1995,
Amal (Lebanon)*,1996,
Amal (Lebanon)*,1997,
Amal (Lebanon)*,1998,
Amal (Lebanon)*,1999,
Amal (Lebanon)*,2000,
Amal (Lebanon)*,2001,
Amal (Lebanon)*,2002,
Amal (Lebanon)*,2003,
Amal (Lebanon)*,2004,
Amal (Lebanon)*,2005,
Amal (Lebanon)*,2006,
Amal (Lebanon)*,2007,
Amal (Lebanon)*,2008,
Amal (Lebanon)*,2009,
Amal (Lebanon)*,2010,
Amal (Lebanon)*,2011,
Amal (Lebanon)*,2012,
Amal (Lebanon)*,2013,
Amal (Lebanon)*,2014,
Amal (Lebanon)*,2015,
Amal (Lebanon)*,2016,
Amal (Lebanon)*,2017,
Amal (Lebanon)*,2018,
Amal (Lebanon)*,2019,
Amal (Lebanon)*,2020,
Amal (Lebanon)*,2021,
Amal (Lebanon)*,2022,
Amal (Lebanon)*,2023,
Amal (Lebanon)*,2024,
Amal (Lebanon)*,2025,
