country,year,tiv
Anti-Castro rebels (Cuba)*,1950,
Anti-Castro rebels (Cuba)*,1951,
Anti-Castro rebels (Cuba)*,1952,
Anti-Castro rebels (Cuba)*,1953,
Anti-Castro rebels (Cuba)*,1954,
Anti-Castro rebels (Cuba)*,1955,
Anti-Castro rebels (Cuba)*,1956,
Anti-Castro rebels (Cuba)*,1957,
Anti-Castro rebels (Cuba)*,1958,
Anti-Castro rebels (Cuba)*,1959,
Anti-Castro rebels (Cuba)*,1960,
Anti-Castro rebels (Cuba)*,1961,2
Anti-Castro rebels (Cuba)*,1962,
Anti-Castro rebels (Cuba)*,1963,
Anti-Castro rebels (Cuba)*,1964,
Anti-Castro rebels (Cuba)*,1965,
Anti-Castro rebels (Cuba)*,1966,
Anti-Castro rebels (Cuba)*,1967,
Anti-Castro rebels (Cuba)*,1968,
Anti-Castro rebels (Cuba)*,1969,
Anti-Castro rebels (Cuba)*,1970,
Anti-Castro rebels (Cuba)*,1971,
Anti-Castro rebels (Cuba)*,1972,
Anti-Castro rebels (Cuba)*,1973,
Anti-Castro rebels (Cuba)*,1974,
Anti-Castro rebels (Cuba)*,1975,
Anti-Castro rebels (Cuba)*,1976,
Anti-Castro rebels (Cuba)*,1977,
Anti-Castro rebels (Cuba)*,1978,
Anti-Castro rebels (Cuba)*,1979,
Anti-Castro rebels (Cuba)*,1980,
Anti-Castro rebels (Cuba)*,1981,
Anti-Castro rebels (Cuba)*,1982,
Anti-Castro rebels (Cuba)*,1983,
Anti-Castro rebels (Cuba)*,1984,
Anti-Castro rebels (Cuba)*,1985,
Anti-Castro rebels (Cuba)*,1986,
Anti-Castro rebels (Cuba)*,1987,
Anti-Castro rebels (Cuba)*,1988,
Anti-Castro rebels (Cuba)*,1989,
Anti-Castro rebels (Cuba)*,1990,
Anti-Castro rebels (Cuba)*,1991,
Anti-Castro rebels (Cuba)*,1992,
Anti-Castro rebels (Cuba)*,1993,
Anti-Castro rebels (Cuba)*,1994,
Anti-Castro rebels (Cuba)*,1995,
Anti-Castro rebels (Cuba)*,1996,
Anti-Castro rebels (Cuba)*,1997,
Anti-Castro rebels (Cuba)*,1998,
Anti-Castro rebels (Cuba)*,1999,
Anti-Castro rebels (Cuba)*,2000,
Anti-Castro rebels (Cuba)*,2001,
Anti-Castro rebels (Cuba)*,2002,
Anti-Castro rebels (Cuba)*,2003,
Anti-Castro rebels (Cuba)*,2004,
Anti-Castro rebels (Cuba)*,2005,
Anti-Castro rebels (Cuba)*,2006,
Anti-Castro rebels (Cuba)*,2007,
Anti-Castro rebels (Cuba)*,2008,
Anti-Castro rebels (Cuba)*,2009,
Anti-Castro rebels (Cuba)*,2010,
Anti-Castro rebels (Cuba)*,2011,
Anti-Castro rebels (Cuba)*,2012,
Anti-Castro rebels (Cuba)*,2013,
Anti-Castro rebels (Cuba)*,2014,
Anti-Castro rebels (Cuba)*,2015,
Anti-Castro rebels (Cuba)*,2016,
Anti-Castro rebels (Cuba)*,2017,
Anti-Castro rebels (Cuba)*,2018,
Anti-Castro rebels (Cuba)*,2019,
Anti-Castro rebels (Cuba)*,2020,
Anti-Castro rebels (Cuba)*,2021,
Anti-Castro rebels (Cuba)*,2022,
Anti-Castro rebels (Cuba)*,2023,
Anti-Castro rebels (Cuba)*,2024,
Anti-Castro rebels (Cuba)*,2025,
