country,year,tiv
Antigua and Barbuda,1950,
Antigua and Barbuda,1951,
Antigua and Barbuda,1952,
Antigua and Barbuda,1953,
Antigua and Barbuda,1954,
Antigua and Barbuda,1955,
Antigua and Barbuda,1956,
Antigua and Barbuda,1957,
Antigua and Barbuda,1958,
Antigua and Barbuda,1959,
Antigua and Barbuda,1960,
Antigua and Barbuda,1961,
Antigua and Barbuda,1962,
Antigua and Barbuda,1963,
Antigua and Barbuda,1964,
Antigua and Barbuda,1965,
Antigua and Barbuda,1966,
Antigua and Barbuda,1967,
Antigua and Barbuda,1968,
Antigua and Barbuda,1969,
Antigua and Barbuda,1970,
Antigua and Barbuda,1971,
Antigua and Barbuda,1972,
Antigua and Barbuda,1973,
Antigua and Barbuda,1974,
Antigua and Barbuda,1975,
Antigua and Barbuda,1976,
Antigua and Barbuda,1977,
Antigua and Barbuda,1978,
Antigua and Barbuda,1979,
Antigua and Barbuda,1980,
Antigua and Barbuda,1981,
Antigua and Barbuda,1982,
Antigua and Barbuda,1983,
Antigua and Barbuda,1984,
Antigua and Barbuda,1985,
Antigua and Barbuda,1986,
Antigua and Barbuda,1987,
Antigua and Barbuda,1988,
Antigua and Barbuda,1989,
Antigua and Barbuda,1990,
Antigua and Barbuda,1991,
Antigua and Barbuda,1992,
Antigua and Barbuda,1993,
Antigua and Barbuda,1994,
Antigua and Barbuda,1995,
Antigua and Barbuda,1996,
Antigua and Barbuda,1997,
Antigua and Barbuda,1998,
Antigua and Barbuda,1999,
Antigua and Barbuda,2000,
Antigua and Barbuda,2001,
Antigua and Barbuda,2002,
Antigua and Barbuda,2003,
Antigua and Barbuda,2004,
Antigua and Barbuda,2005,
Antigua and Barbuda,2006,
Antigua and Barbuda,2007,
Antigua and Barbuda,2008,
Antigua and Barbuda,2009,
Antigua and Barbuda,2010,
Antigua and Barbuda,2011,
Antigua and Barbuda,2012,
Antigua and Barbuda,2013,
Antigua and Barbuda,2014,
Antigua and Barbuda,2015,
Antigua and Barbuda,2016,
Antigua and Barbuda,2017,
Antigua and Barbuda,2018,
Antigua and Barbuda,2019,
Antigua and Barbuda,2020,
Antigua and Barbuda,2021,
Antigua and Barbuda,2022,0
Antigua and Barbuda,2023,0
Antigua and Barbuda,2024,
Antigua and Barbuda,2025,
