country,year,tiv
Armas (Guatemala)*,1950,
Armas (Guatemala)*,1951,
Armas (Guatemala)*,1952,
Armas (Guatemala)*,1953,
Armas (Guatemala)*,1954,8
Armas (Guatemala)*,1955,
Armas (Guatemala)*,1956,
Armas (Guatemala)*,1957,
Armas (Guatemala)*,1958,
Armas (Guatemala)*,1959,
Armas (Guatemala)*,1960,
Armas (Guatemala)*,1961,
Armas (Guatemala)*,1962,
Armas (Guatemala)*,1963,
Armas (Guatemala)*,1964,
Armas (Guatemala)*,1965,
Armas (Guatemala)*,1966,
Armas (Guatemala)*,1967,
Armas (Guatemala)*,1968,
Armas (Guatemala)*,1969,
Armas (Guatemala)*,1970,
Armas (Guatemala)*,1971,
Armas (Guatemala)*,1972,
Armas (Guatemala)*,1973,
Armas (Guatemala)*,1974,
Armas (Guatemala)*,1975,
Armas (Guatemala)*,1976,
Armas (Guatemala)*,1977,
Armas (Guatemala)*,1978,
Armas (Guatemala)*,1979,
Armas (Guatemala)*,1980,
Armas (Guatemala)*,1981,
Armas (Guatemala)*,1982,
Armas (Guatemala)*,1983,
Armas (Guatemala)*,1984,
Armas (Guatemala)*,1985,
Armas (Guatemala)*,1986,
Armas (Guatemala)*,1987,
Armas (Guatemala)*,1988,
Armas (Guatemala)*,1989,
Armas (Guatemala)*,1990,
Armas (Guatemala)*,1991,
Armas (Guatemala)*,1992,
Armas (Guatemala)*,1993,
Armas (Guatemala)*,1994,
Armas (Guatemala)*,1995,
Armas (Guatemala)*,1996,
Armas (Guatemala)*,1997,
Armas (Guatemala)*,1998,
Armas (Guatemala)*,1999,
Armas (Guatemala)*,2000,
Armas (Guatemala)*,2001,
Armas (Guatemala)*,2002,
Armas (Guatemala)*,2003,
Armas (Guatemala)*,2004,
Armas (Guatemala)*,2005,
Armas (Guatemala)*,2006,
Armas (Guatemala)*,2007,
Armas (Guatemala)*,2008,
Armas (Guatemala)*,2009,
Armas (Guatemala)*,2010,
Armas (Guatemala)*,2011,
Armas (Guatemala)*,2012,
Armas (Guatemala)*,2013,
Armas (Guatemala)*,2014,
Armas (Guatemala)*,2015,
Armas (Guatemala)*,2016,
Armas (Guatemala)*,2017,
Armas (Guatemala)*,2018,
Armas (Guatemala)*,2019,
Armas (Guatemala)*,2020,
Armas (Guatemala)*,2021,
Armas (Guatemala)*,2022,
Armas (Guatemala)*,2023,
Armas (Guatemala)*,2024,
Armas (Guatemala)*,2025,
