country,year,tiv
Armenia,1950,
Armenia,1951,
Armenia,1952,
Armenia,1953,
Armenia,1954,
Armenia,1955,
Armenia,1956,
Armenia,1957,
Armenia,1958,
Armenia,1959,
Armenia,1960,
Armenia,1961,
Armenia,1962,
Armenia,1963,
Armenia,1964,
Armenia,1965,
Armenia,1966,
Armenia,1967,
Armenia,1968,
Armenia,1969,
Armenia,1970,
Armenia,1971,
Armenia,1972,
Armenia,1973,
Armenia,1974,
Armenia,1975,
Armenia,1976,
Armenia,1977,
Armenia,1978,
Armenia,1979,
Armenia,1980,
Armenia,1981,
Armenia,1982,
Armenia,1983,
Armenia,1984,
Armenia,1985,
Armenia,1986,
Armenia,1987,
Armenia,1988,
Armenia,1989,
Armenia,1990,
Armenia,1991,
Armenia,1992,
Armenia,1993,2
Armenia,1994,181
Armenia,1995,47
Armenia,1996,68
Armenia,1997,
Armenia,1998,
Armenia,1999,2
Armenia,2000,
Armenia,2001,
Armenia,2002,
Armenia,2003,
Armenia,2004,118
Armenia,2005,
Armenia,2006,
Armenia,2007,1
Armenia,2008,
Armenia,2009,46
Armenia,2010,52
Armenia,2011,5
Armenia,2012,
Armenia,2013,52
Armenia,2014,
Armenia,2015,
Armenia,2016,112
Armenia,2017,22
Armenia,2018,
Armenia,2019,248
Armenia,2020,
Armenia,2021,32
Armenia,2022,29
Armenia,2023,7
Armenia,2024,32
Armenia,2025,21
