country,year,tiv
Australia,1950,464
Australia,1951,367
Australia,1952,399
Australia,1953,151
Australia,1954,125
Australia,1955,637
Australia,1956,463
Australia,1957,460
Australia,1958,549
Australia,1959,422
Australia,1960,116
Australia,1961,155
Australia,1962,460
Australia,1963,369
Australia,1964,539
Australia,1965,920
Australia,1966,707
Australia,1967,770
Australia,1968,557
Australia,1969,702
Australia,1970,230
Australia,1971,310
Australia,1972,63
Australia,1973,713
Australia,1974,898
Australia,1975,108
Australia,1976,91
Australia,1977,278
Australia,1978,1029
Australia,1979,197
Australia,1980,409
Australia,1981,449
Australia,1982,134
Australia,1983,637
Australia,1984,635
Australia,1985,510
Australia,1986,815
Australia,1987,594
Australia,1988,745
Australia,1989,695
Australia,1990,356
Australia,1991,219
Australia,1992,364
Australia,1993,448
Australia,1994,262
Australia,1995,64
Australia,1996,597
Australia,1997,35
Australia,1998,542
Australia,1999,678
Australia,2000,326
Australia,2001,1215
Australia,2002,638
Australia,2003,765
Australia,2004,447
Australia,2005,458
Australia,2006,721
Australia,2007,618
Australia,2008,430
Australia,2009,805
Australia,2010,1558
Australia,2011,1582
Australia,2012,787
Australia,2013,220
Australia,2014,848
Australia,2015,1445
Australia,2016,1012
Australia,2017,1664
Australia,2018,1553
Australia,2019,1159
Australia,2020,1632
Australia,2021,1218
Australia,2022,809
Australia,2023,376
Australia,2024,1077
Australia,2025,826
