country,year,tiv
Azerbaijan,1950,
Azerbaijan,1951,
Azerbaijan,1952,
Azerbaijan,1953,
Azerbaijan,1954,
Azerbaijan,1955,
Azerbaijan,1956,
Azerbaijan,1957,
Azerbaijan,1958,
Azerbaijan,1959,
Azerbaijan,1960,
Azerbaijan,1961,
Azerbaijan,1962,
Azerbaijan,1963,
Azerbaijan,1964,
Azerbaijan,1965,
Azerbaijan,1966,
Azerbaijan,1967,
Azerbaijan,1968,
Azerbaijan,1969,
Azerbaijan,1970,
Azerbaijan,1971,
Azerbaijan,1972,
Azerbaijan,1973,
Azerbaijan,1974,
Azerbaijan,1975,
Azerbaijan,1976,
Azerbaijan,1977,
Azerbaijan,1978,
Azerbaijan,1979,
Azerbaijan,1980,
Azerbaijan,1981,
Azerbaijan,1982,
Azerbaijan,1983,
Azerbaijan,1984,
Azerbaijan,1985,
Azerbaijan,1986,
Azerbaijan,1987,
Azerbaijan,1988,
Azerbaijan,1989,
Azerbaijan,1990,
Azerbaijan,1991,
Azerbaijan,1992,
Azerbaijan,1993,50
Azerbaijan,1994,25
Azerbaijan,1995,
Azerbaijan,1996,
Azerbaijan,1997,
Azerbaijan,1998,
Azerbaijan,1999,
Azerbaijan,2000,3
Azerbaijan,2001,
Azerbaijan,2002,89
Azerbaijan,2003,
Azerbaijan,2004,4
Azerbaijan,2005,63
Azerbaijan,2006,168
Azerbaijan,2007,213
Azerbaijan,2008,34
Azerbaijan,2009,147
Azerbaijan,2010,163
Azerbaijan,2011,569
Azerbaijan,2012,397
Azerbaijan,2013,398
Azerbaijan,2014,642
Azerbaijan,2015,351
Azerbaijan,2016,287
Azerbaijan,2017,290
Azerbaijan,2018,375
Azerbaijan,2019,44
Azerbaijan,2020,51
Azerbaijan,2021,
Azerbaijan,2022,9
Azerbaijan,2023,3
Azerbaijan,2024,75
Azerbaijan,2025,463
