country,year,tiv
Bahrain,1950,
Bahrain,1951,
Bahrain,1952,
Bahrain,1953,
Bahrain,1954,
Bahrain,1955,
Bahrain,1956,
Bahrain,1957,
Bahrain,1958,
Bahrain,1959,
Bahrain,1960,
Bahrain,1961,
Bahrain,1962,
Bahrain,1963,
Bahrain,1964,
Bahrain,1965,
Bahrain,1966,
Bahrain,1967,
Bahrain,1968,
Bahrain,1969,
Bahrain,1970,
Bahrain,1971,0
Bahrain,1972,7
Bahrain,1973,0
Bahrain,1974,1
Bahrain,1975,
Bahrain,1976,
Bahrain,1977,2
Bahrain,1978,12
Bahrain,1979,10
Bahrain,1980,22
Bahrain,1981,40
Bahrain,1982,55
Bahrain,1983,10
Bahrain,1984,129
Bahrain,1985,55
Bahrain,1986,133
Bahrain,1987,249
Bahrain,1988,135
Bahrain,1989,66
Bahrain,1990,362
Bahrain,1991,68
Bahrain,1992,51
Bahrain,1993,1
Bahrain,1994,8
Bahrain,1995,71
Bahrain,1996,51
Bahrain,1997,197
Bahrain,1998,8
Bahrain,1999,
Bahrain,2000,299
Bahrain,2001,28
Bahrain,2002,52
Bahrain,2003,1
Bahrain,2004,10
Bahrain,2005,66
Bahrain,2006,63
Bahrain,2007,27
Bahrain,2008,21
Bahrain,2009,
Bahrain,2010,98
Bahrain,2011,4
Bahrain,2012,24
Bahrain,2013,69
Bahrain,2014,1
Bahrain,2015,17
Bahrain,2016,30
Bahrain,2017,27
Bahrain,2018,72
Bahrain,2019,21
Bahrain,2020,27
Bahrain,2021,184
Bahrain,2022,259
Bahrain,2023,294
Bahrain,2024,850
Bahrain,2025,30
