country,year,tiv
Bangladesh,1950,
Bangladesh,1951,
Bangladesh,1952,
Bangladesh,1953,
Bangladesh,1954,
Bangladesh,1955,
Bangladesh,1956,
Bangladesh,1957,
Bangladesh,1958,
Bangladesh,1959,
Bangladesh,1960,
Bangladesh,1961,
Bangladesh,1962,
Bangladesh,1963,
Bangladesh,1964,
Bangladesh,1965,
Bangladesh,1966,
Bangladesh,1967,
Bangladesh,1968,
Bangladesh,1969,
Bangladesh,1970,
Bangladesh,1971,10
Bangladesh,1972,2
Bangladesh,1973,76
Bangladesh,1974,44
Bangladesh,1975,39
Bangladesh,1976,70
Bangladesh,1977,62
Bangladesh,1978,45
Bangladesh,1979,1
Bangladesh,1980,55
Bangladesh,1981,72
Bangladesh,1982,128
Bangladesh,1983,109
Bangladesh,1984,9
Bangladesh,1985,124
Bangladesh,1986,4
Bangladesh,1987,1
Bangladesh,1988,242
Bangladesh,1989,302
Bangladesh,1990,199
Bangladesh,1991,79
Bangladesh,1992,113
Bangladesh,1993,49
Bangladesh,1994,61
Bangladesh,1995,123
Bangladesh,1996,7
Bangladesh,1997,26
Bangladesh,1998,1
Bangladesh,1999,184
Bangladesh,2000,200
Bangladesh,2001,274
Bangladesh,2002,37
Bangladesh,2003,8
Bangladesh,2004,32
Bangladesh,2005,10
Bangladesh,2006,221
Bangladesh,2007,82
Bangladesh,2008,12
Bangladesh,2009,
Bangladesh,2010,36
Bangladesh,2011,120
Bangladesh,2012,199
Bangladesh,2013,648
Bangladesh,2014,207
Bangladesh,2015,638
Bangladesh,2016,455
Bangladesh,2017,334
Bangladesh,2018,161
Bangladesh,2019,713
Bangladesh,2020,70
Bangladesh,2021,60
Bangladesh,2022,331
Bangladesh,2023,74
Bangladesh,2024,70
Bangladesh,2025,32
