country,year,tiv
Belgium,1950,229
Belgium,1951,461
Belgium,1952,972
Belgium,1953,1098
Belgium,1954,604
Belgium,1955,345
Belgium,1956,673
Belgium,1957,670
Belgium,1958,887
Belgium,1959,179
Belgium,1960,92
Belgium,1961,132
Belgium,1962,188
Belgium,1963,575
Belgium,1964,652
Belgium,1965,521
Belgium,1966,116
Belgium,1967,39
Belgium,1968,220
Belgium,1969,240
Belgium,1970,514
Belgium,1971,499
Belgium,1972,492
Belgium,1973,562
Belgium,1974,113
Belgium,1975,130
Belgium,1976,184
Belgium,1977,187
Belgium,1978,409
Belgium,1979,779
Belgium,1980,565
Belgium,1981,515
Belgium,1982,433
Belgium,1983,580
Belgium,1984,575
Belgium,1985,287
Belgium,1986,91
Belgium,1987,91
Belgium,1988,407
Belgium,1989,203
Belgium,1990,314
Belgium,1991,125
Belgium,1992,48
Belgium,1993,73
Belgium,1994,47
Belgium,1995,16
Belgium,1996,3
Belgium,1997,50
Belgium,1998,55
Belgium,1999,58
Belgium,2000,36
Belgium,2001,30
Belgium,2002,48
Belgium,2003,21
Belgium,2004,15
Belgium,2005,3
Belgium,2006,15
Belgium,2007,171
Belgium,2008,191
Belgium,2009,87
Belgium,2010,40
Belgium,2011,27
Belgium,2012,33
Belgium,2013,48
Belgium,2014,99
Belgium,2015,52
Belgium,2016,4
Belgium,2017,7
Belgium,2018,1
Belgium,2019,9
Belgium,2020,90
Belgium,2021,255
Belgium,2022,170
Belgium,2023,12
Belgium,2024,508
Belgium,2025,430
