country,year,tiv
Benin,1950,
Benin,1951,
Benin,1952,
Benin,1953,
Benin,1954,
Benin,1955,
Benin,1956,
Benin,1957,
Benin,1958,
Benin,1959,
Benin,1960,
Benin,1961,2
Benin,1962,1
Benin,1963,
Benin,1964,2
Benin,1965,
Benin,1966,1
Benin,1967,
Benin,1968,
Benin,1969,
Benin,1970,0
Benin,1971,2
Benin,1972,
Benin,1973,1
Benin,1974,
Benin,1975,
Benin,1976,
Benin,1977,
Benin,1978,26
Benin,1979,6
Benin,1980,
Benin,1981,
Benin,1982,10
Benin,1983,3
Benin,1984,1
Benin,1985,3
Benin,1986,
Benin,1987,1
Benin,1988,0
Benin,1989,0
Benin,1990,
Benin,1991,
Benin,1992,
Benin,1993,
Benin,1994,
Benin,1995,
Benin,1996,
Benin,1997,
Benin,1998,
Benin,1999,
Benin,2000,
Benin,2001,
Benin,2002,7
Benin,2003,
Benin,2004,
Benin,2005,
Benin,2006,
Benin,2007,3
Benin,2008,
Benin,2009,1
Benin,2010,0
Benin,2011,0
Benin,2012,20
Benin,2013,3
Benin,2014,
Benin,2015,
Benin,2016,1
Benin,2017,
Benin,2018,
Benin,2019,
Benin,2020,1
Benin,2021,
Benin,2022,3
Benin,2023,12
Benin,2024,7
Benin,2025,4
