country,year,tiv
Bhutan,1950,
Bhutan,1951,
Bhutan,1952,
Bhutan,1953,
Bhutan,1954,
Bhutan,1955,
Bhutan,1956,
Bhutan,1957,
Bhutan,1958,
Bhutan,1959,
Bhutan,1960,
Bhutan,1961,
Bhutan,1962,
Bhutan,1963,
Bhutan,1964,
Bhutan,1965,
Bhutan,1966,
Bhutan,1967,
Bhutan,1968,1
Bhutan,1969,
Bhutan,1970,
Bhutan,1971,
Bhutan,1972,
Bhutan,1973,
Bhutan,1974,
Bhutan,1975,
Bhutan,1976,
Bhutan,1977,
Bhutan,1978,
Bhutan,1979,
Bhutan,1980,
Bhutan,1981,
Bhutan,1982,
Bhutan,1983,
Bhutan,1984,
Bhutan,1985,
Bhutan,1986,
Bhutan,1987,
Bhutan,1988,
Bhutan,1989,
Bhutan,1990,
Bhutan,1991,
Bhutan,1992,
Bhutan,1993,
Bhutan,1994,
Bhutan,1995,
Bhutan,1996,
Bhutan,1997,
Bhutan,1998,
Bhutan,1999,
Bhutan,2000,
Bhutan,2001,
Bhutan,2002,
Bhutan,2003,
Bhutan,2004,0
Bhutan,2005,
Bhutan,2006,
Bhutan,2007,
Bhutan,2008,
Bhutan,2009,
Bhutan,2010,
Bhutan,2011,
Bhutan,2012,
Bhutan,2013,
Bhutan,2014,
Bhutan,2015,1
Bhutan,2016,1
Bhutan,2017,
Bhutan,2018,
Bhutan,2019,
Bhutan,2020,
Bhutan,2021,5
Bhutan,2022,
Bhutan,2023,
Bhutan,2024,
Bhutan,2025,
