country,year,tiv
Botswana,1950,
Botswana,1951,
Botswana,1952,
Botswana,1953,
Botswana,1954,
Botswana,1955,
Botswana,1956,
Botswana,1957,
Botswana,1958,
Botswana,1959,
Botswana,1960,
Botswana,1961,
Botswana,1962,
Botswana,1963,
Botswana,1964,
Botswana,1965,
Botswana,1966,
Botswana,1967,
Botswana,1968,
Botswana,1969,
Botswana,1970,
Botswana,1971,
Botswana,1972,
Botswana,1973,
Botswana,1974,
Botswana,1975,
Botswana,1976,
Botswana,1977,1
Botswana,1978,1
Botswana,1979,7
Botswana,1980,2
Botswana,1981,11
Botswana,1982,
Botswana,1983,
Botswana,1984,
Botswana,1985,5
Botswana,1986,
Botswana,1987,26
Botswana,1988,40
Botswana,1989,4
Botswana,1990,22
Botswana,1991,2
Botswana,1992,2
Botswana,1993,11
Botswana,1994,
Botswana,1995,12
Botswana,1996,32
Botswana,1997,71
Botswana,1998,2
Botswana,1999,
Botswana,2000,54
Botswana,2001,15
Botswana,2002,1
Botswana,2003,11
Botswana,2004,10
Botswana,2005,
Botswana,2006,
Botswana,2007,
Botswana,2008,
Botswana,2009,10
Botswana,2010,10
Botswana,2011,
Botswana,2012,6
Botswana,2013,8
Botswana,2014,
Botswana,2015,
Botswana,2016,5
Botswana,2017,
Botswana,2018,5
Botswana,2019,7
Botswana,2020,76
Botswana,2021,16
Botswana,2022,11
Botswana,2023,1
Botswana,2024,11
Botswana,2025,
