country,year,tiv
Brazil,1950,
Brazil,1951,615
Brazil,1952,
Brazil,1953,133
Brazil,1954,112
Brazil,1955,379
Brazil,1956,55
Brazil,1957,134
Brazil,1958,120
Brazil,1959,130
Brazil,1960,236
Brazil,1961,212
Brazil,1962,62
Brazil,1963,127
Brazil,1964,25
Brazil,1965,149
Brazil,1966,57
Brazil,1967,218
Brazil,1968,236
Brazil,1969,108
Brazil,1970,217
Brazil,1971,171
Brazil,1972,520
Brazil,1973,598
Brazil,1974,256
Brazil,1975,538
Brazil,1976,551
Brazil,1977,525
Brazil,1978,832
Brazil,1979,375
Brazil,1980,338
Brazil,1981,61
Brazil,1982,72
Brazil,1983,88
Brazil,1984,123
Brazil,1985,82
Brazil,1986,139
Brazil,1987,234
Brazil,1988,125
Brazil,1989,742
Brazil,1990,140
Brazil,1991,161
Brazil,1992,98
Brazil,1993,66
Brazil,1994,311
Brazil,1995,267
Brazil,1996,547
Brazil,1997,476
Brazil,1998,200
Brazil,1999,308
Brazil,2000,86
Brazil,2001,573
Brazil,2002,221
Brazil,2003,110
Brazil,2004,85
Brazil,2005,223
Brazil,2006,178
Brazil,2007,188
Brazil,2008,178
Brazil,2009,135
Brazil,2010,256
Brazil,2011,231
Brazil,2012,317
Brazil,2013,217
Brazil,2014,201
Brazil,2015,202
Brazil,2016,111
Brazil,2017,96
Brazil,2018,258
Brazil,2019,125
Brazil,2020,134
Brazil,2021,240
Brazil,2022,469
Brazil,2023,193
Brazil,2024,450
Brazil,2025,462
