country,year,tiv
Brunei,1950,
Brunei,1951,
Brunei,1952,
Brunei,1953,
Brunei,1954,
Brunei,1955,
Brunei,1956,
Brunei,1957,
Brunei,1958,
Brunei,1959,
Brunei,1960,
Brunei,1961,
Brunei,1962,
Brunei,1963,
Brunei,1964,
Brunei,1965,5
Brunei,1966,1
Brunei,1967,18
Brunei,1968,1
Brunei,1969,
Brunei,1970,5
Brunei,1971,18
Brunei,1972,1
Brunei,1973,1
Brunei,1974,15
Brunei,1975,1
Brunei,1976,0
Brunei,1977,
Brunei,1978,46
Brunei,1979,64
Brunei,1980,
Brunei,1981,8
Brunei,1982,12
Brunei,1983,85
Brunei,1984,60
Brunei,1985,
Brunei,1986,13
Brunei,1987,
Brunei,1988,
Brunei,1989,
Brunei,1990,4
Brunei,1991,4
Brunei,1992,
Brunei,1993,
Brunei,1994,
Brunei,1995,
Brunei,1996,17
Brunei,1997,31
Brunei,1998,7
Brunei,1999,4
Brunei,2000,
Brunei,2001,5
Brunei,2002,1
Brunei,2003,0
Brunei,2004,0
Brunei,2005,1
Brunei,2006,1
Brunei,2007,
Brunei,2008,
Brunei,2009,33
Brunei,2010,33
Brunei,2011,229
Brunei,2012,20
Brunei,2013,15
Brunei,2014,121
Brunei,2015,36
Brunei,2016,
Brunei,2017,
Brunei,2018,
Brunei,2019,
Brunei,2020,
Brunei,2021,
Brunei,2022,
Brunei,2023,11
Brunei,2024,28
Brunei,2025,
