country,year,tiv
Bulgaria,1950,166
Bulgaria,1951,88
Bulgaria,1952,117
Bulgaria,1953,364
Bulgaria,1954,689
Bulgaria,1955,539
Bulgaria,1956,431
Bulgaria,1957,304
Bulgaria,1958,354
Bulgaria,1959,165
Bulgaria,1960,482
Bulgaria,1961,522
Bulgaria,1962,493
Bulgaria,1963,553
Bulgaria,1964,326
Bulgaria,1965,372
Bulgaria,1966,218
Bulgaria,1967,329
Bulgaria,1968,256
Bulgaria,1969,533
Bulgaria,1970,771
Bulgaria,1971,407
Bulgaria,1972,460
Bulgaria,1973,274
Bulgaria,1974,302
Bulgaria,1975,390
Bulgaria,1976,368
Bulgaria,1977,492
Bulgaria,1978,876
Bulgaria,1979,323
Bulgaria,1980,580
Bulgaria,1981,984
Bulgaria,1982,610
Bulgaria,1983,754
Bulgaria,1984,945
Bulgaria,1985,619
Bulgaria,1986,932
Bulgaria,1987,449
Bulgaria,1988,253
Bulgaria,1989,314
Bulgaria,1990,755
Bulgaria,1991,339
Bulgaria,1992,42
Bulgaria,1993,1
Bulgaria,1994,1
Bulgaria,1995,1
Bulgaria,1996,122
Bulgaria,1997,
Bulgaria,1998,
Bulgaria,1999,7
Bulgaria,2000,
Bulgaria,2001,
Bulgaria,2002,
Bulgaria,2003,2
Bulgaria,2004,13
Bulgaria,2005,132
Bulgaria,2006,22
Bulgaria,2007,48
Bulgaria,2008,117
Bulgaria,2009,119
Bulgaria,2010,8
Bulgaria,2011,29
Bulgaria,2012,5
Bulgaria,2013,
Bulgaria,2014,
Bulgaria,2015,4
Bulgaria,2016,
Bulgaria,2017,
Bulgaria,2018,
Bulgaria,2019,2
Bulgaria,2020,44
Bulgaria,2021,1
Bulgaria,2022,3
Bulgaria,2023,
Bulgaria,2024,
Bulgaria,2025,540
