country,year,tiv
Burundi,1950,
Burundi,1951,
Burundi,1952,
Burundi,1953,
Burundi,1954,
Burundi,1955,
Burundi,1956,
Burundi,1957,
Burundi,1958,
Burundi,1959,
Burundi,1960,
Burundi,1961,
Burundi,1962,
Burundi,1963,
Burundi,1964,
Burundi,1965,
Burundi,1966,9
Burundi,1967,2
Burundi,1968,
Burundi,1969,3
Burundi,1970,
Burundi,1971,
Burundi,1972,
Burundi,1973,0
Burundi,1974,
Burundi,1975,
Burundi,1976,
Burundi,1977,
Burundi,1978,
Burundi,1979,
Burundi,1980,1
Burundi,1981,5
Burundi,1982,3
Burundi,1983,11
Burundi,1984,2
Burundi,1985,
Burundi,1986,
Burundi,1987,
Burundi,1988,
Burundi,1989,6
Burundi,1990,6
Burundi,1991,
Burundi,1992,
Burundi,1993,
Burundi,1994,
Burundi,1995,
Burundi,1996,
Burundi,1997,
Burundi,1998,12
Burundi,1999,
Burundi,2000,
Burundi,2001,1
Burundi,2002,3
Burundi,2003,
Burundi,2004,
Burundi,2005,
Burundi,2006,
Burundi,2007,
Burundi,2008,
Burundi,2009,1
Burundi,2010,2
Burundi,2011,
Burundi,2012,5
Burundi,2013,
Burundi,2014,
Burundi,2015,1
Burundi,2016,3
Burundi,2017,
Burundi,2018,
Burundi,2019,2
Burundi,2020,
Burundi,2021,
Burundi,2022,
Burundi,2023,
Burundi,2024,
Burundi,2025,
