country,year,tiv
Cambodia,1950,
Cambodia,1951,
Cambodia,1952,
Cambodia,1953,
Cambodia,1954,4
Cambodia,1955,19
Cambodia,1956,36
Cambodia,1957,10
Cambodia,1958,4
Cambodia,1959,2
Cambodia,1960,1
Cambodia,1961,2
Cambodia,1962,5
Cambodia,1963,11
Cambodia,1964,41
Cambodia,1965,43
Cambodia,1966,37
Cambodia,1967,20
Cambodia,1968,15
Cambodia,1969,18
Cambodia,1970,8
Cambodia,1971,22
Cambodia,1972,104
Cambodia,1973,114
Cambodia,1974,25
Cambodia,1975,
Cambodia,1976,
Cambodia,1977,
Cambodia,1978,43
Cambodia,1979,
Cambodia,1980,34
Cambodia,1981,
Cambodia,1982,
Cambodia,1983,13
Cambodia,1984,67
Cambodia,1985,69
Cambodia,1986,136
Cambodia,1987,50
Cambodia,1988,10
Cambodia,1989,124
Cambodia,1990,48
Cambodia,1991,
Cambodia,1992,
Cambodia,1993,3
Cambodia,1994,74
Cambodia,1995,1
Cambodia,1996,27
Cambodia,1997,22
Cambodia,1998,
Cambodia,1999,
Cambodia,2000,
Cambodia,2001,
Cambodia,2002,
Cambodia,2003,
Cambodia,2004,
Cambodia,2005,
Cambodia,2006,14
Cambodia,2007,56
Cambodia,2008,
Cambodia,2009,4
Cambodia,2010,34
Cambodia,2011,
Cambodia,2012,78
Cambodia,2013,68
Cambodia,2014,
Cambodia,2015,
Cambodia,2016,
Cambodia,2017,
Cambodia,2018,5
Cambodia,2019,1
Cambodia,2020,
Cambodia,2021,35
Cambodia,2022,38
Cambodia,2023,56
Cambodia,2024,
Cambodia,2025,
