country,year,tiv
Chad,1950,
Chad,1951,
Chad,1952,
Chad,1953,
Chad,1954,
Chad,1955,
Chad,1956,
Chad,1957,
Chad,1958,
Chad,1959,
Chad,1960,1
Chad,1961,1
Chad,1962,
Chad,1963,
Chad,1964,
Chad,1965,0
Chad,1966,
Chad,1967,
Chad,1968,
Chad,1969,
Chad,1970,
Chad,1971,4
Chad,1972,
Chad,1973,3
Chad,1974,13
Chad,1975,10
Chad,1976,8
Chad,1977,3
Chad,1978,
Chad,1979,
Chad,1980,10
Chad,1981,
Chad,1982,
Chad,1983,37
Chad,1984,9
Chad,1985,1
Chad,1986,29
Chad,1987,28
Chad,1988,9
Chad,1989,56
Chad,1990,
Chad,1991,
Chad,1992,
Chad,1993,
Chad,1994,3
Chad,1995,1
Chad,1996,
Chad,1997,
Chad,1998,7
Chad,1999,7
Chad,2000,
Chad,2001,16
Chad,2002,
Chad,2003,
Chad,2004,
Chad,2005,
Chad,2006,18
Chad,2007,30
Chad,2008,83
Chad,2009,37
Chad,2010,43
Chad,2011,1
Chad,2012,4
Chad,2013,59
Chad,2014,58
Chad,2015,1
Chad,2016,2
Chad,2017,6
Chad,2018,7
Chad,2019,1
Chad,2020,4
Chad,2021,47
Chad,2022,6
Chad,2023,32
Chad,2024,10
Chad,2025,4
