country,year,tiv
Chile,1950,1
Chile,1951,247
Chile,1952,32
Chile,1953,10
Chile,1954,42
Chile,1955,5
Chile,1956,66
Chile,1957,32
Chile,1958,50
Chile,1959,20
Chile,1960,308
Chile,1961,38
Chile,1962,19
Chile,1963,123
Chile,1964,38
Chile,1965,49
Chile,1966,74
Chile,1967,150
Chile,1968,62
Chile,1969,13
Chile,1970,77
Chile,1971,185
Chile,1972,51
Chile,1973,278
Chile,1974,272
Chile,1975,196
Chile,1976,387
Chile,1977,72
Chile,1978,192
Chile,1979,147
Chile,1980,150
Chile,1981,147
Chile,1982,339
Chile,1983,135
Chile,1984,513
Chile,1985,28
Chile,1986,173
Chile,1987,155
Chile,1988,84
Chile,1989,133
Chile,1990,132
Chile,1991,102
Chile,1992,179
Chile,1993,84
Chile,1994,81
Chile,1995,330
Chile,1996,163
Chile,1997,280
Chile,1998,80
Chile,1999,206
Chile,2000,230
Chile,2001,60
Chile,2002,75
Chile,2003,188
Chile,2004,64
Chile,2005,446
Chile,2006,1097
Chile,2007,659
Chile,2008,395
Chile,2009,329
Chile,2010,474
Chile,2011,326
Chile,2012,61
Chile,2013,55
Chile,2014,135
Chile,2015,135
Chile,2016,70
Chile,2017,49
Chile,2018,74
Chile,2019,16
Chile,2020,304
Chile,2021,66
Chile,2022,207
Chile,2023,9
Chile,2024,14
Chile,2025,14
