country,year,tiv
Colombia,1950,3
Colombia,1951,8
Colombia,1952,15
Colombia,1953,12
Colombia,1954,36
Colombia,1955,3
Colombia,1956,43
Colombia,1957,15
Colombia,1958,292
Colombia,1959,1
Colombia,1960,5
Colombia,1961,66
Colombia,1962,6
Colombia,1963,32
Colombia,1964,9
Colombia,1965,18
Colombia,1966,32
Colombia,1967,15
Colombia,1968,32
Colombia,1969,121
Colombia,1970,8
Colombia,1971,40
Colombia,1972,171
Colombia,1973,163
Colombia,1974,5
Colombia,1975,291
Colombia,1976,10
Colombia,1977,8
Colombia,1978,12
Colombia,1979,36
Colombia,1980,12
Colombia,1981,28
Colombia,1982,18
Colombia,1983,300
Colombia,1984,660
Colombia,1985,7
Colombia,1986,6
Colombia,1987,4
Colombia,1988,37
Colombia,1989,218
Colombia,1990,13
Colombia,1991,72
Colombia,1992,36
Colombia,1993,68
Colombia,1994,42
Colombia,1995,35
Colombia,1996,49
Colombia,1997,193
Colombia,1998,160
Colombia,1999,44
Colombia,2000,68
Colombia,2001,268
Colombia,2002,173
Colombia,2003,145
Colombia,2004,18
Colombia,2005,18
Colombia,2006,54
Colombia,2007,237
Colombia,2008,110
Colombia,2009,263
Colombia,2010,259
Colombia,2011,145
Colombia,2012,200
Colombia,2013,173
Colombia,2014,170
Colombia,2015,193
Colombia,2016,18
Colombia,2017,91
Colombia,2018,16
Colombia,2019,22
Colombia,2020,80
Colombia,2021,45
Colombia,2022,50
Colombia,2023,3
Colombia,2024,12
Colombia,2025,22
