country,year,tiv
Contras (Nicaragua)*,1950,
Contras (Nicaragua)*,1951,
Contras (Nicaragua)*,1952,
Contras (Nicaragua)*,1953,
Contras (Nicaragua)*,1954,
Contras (Nicaragua)*,1955,
Contras (Nicaragua)*,1956,
Contras (Nicaragua)*,1957,
Contras (Nicaragua)*,1958,
Contras (Nicaragua)*,1959,
Contras (Nicaragua)*,1960,
Contras (Nicaragua)*,1961,
Contras (Nicaragua)*,1962,
Contras (Nicaragua)*,1963,
Contras (Nicaragua)*,1964,
Contras (Nicaragua)*,1965,
Contras (Nicaragua)*,1966,
Contras (Nicaragua)*,1967,
Contras (Nicaragua)*,1968,
Contras (Nicaragua)*,1969,
Contras (Nicaragua)*,1970,
Contras (Nicaragua)*,1971,
Contras (Nicaragua)*,1972,
Contras (Nicaragua)*,1973,
Contras (Nicaragua)*,1974,
Contras (Nicaragua)*,1975,
Contras (Nicaragua)*,1976,
Contras (Nicaragua)*,1977,
Contras (Nicaragua)*,1978,
Contras (Nicaragua)*,1979,
Contras (Nicaragua)*,1980,
Contras (Nicaragua)*,1981,
Contras (Nicaragua)*,1982,
Contras (Nicaragua)*,1983,7
Contras (Nicaragua)*,1984,1
Contras (Nicaragua)*,1985,
Contras (Nicaragua)*,1986,6
Contras (Nicaragua)*,1987,14
Contras (Nicaragua)*,1988,
Contras (Nicaragua)*,1989,
Contras (Nicaragua)*,1990,
Contras (Nicaragua)*,1991,
Contras (Nicaragua)*,1992,
Contras (Nicaragua)*,1993,
Contras (Nicaragua)*,1994,
Contras (Nicaragua)*,1995,
Contras (Nicaragua)*,1996,
Contras (Nicaragua)*,1997,
Contras (Nicaragua)*,1998,
Contras (Nicaragua)*,1999,
Contras (Nicaragua)*,2000,
Contras (Nicaragua)*,2001,
Contras (Nicaragua)*,2002,
Contras (Nicaragua)*,2003,
Contras (Nicaragua)*,2004,
Contras (Nicaragua)*,2005,
Contras (Nicaragua)*,2006,
Contras (Nicaragua)*,2007,
Contras (Nicaragua)*,2008,
Contras (Nicaragua)*,2009,
Contras (Nicaragua)*,2010,
Contras (Nicaragua)*,2011,
Contras (Nicaragua)*,2012,
Contras (Nicaragua)*,2013,
Contras (Nicaragua)*,2014,
Contras (Nicaragua)*,2015,
Contras (Nicaragua)*,2016,
Contras (Nicaragua)*,2017,
Contras (Nicaragua)*,2018,
Contras (Nicaragua)*,2019,
Contras (Nicaragua)*,2020,
Contras (Nicaragua)*,2021,
Contras (Nicaragua)*,2022,
Contras (Nicaragua)*,2023,
Contras (Nicaragua)*,2024,
Contras (Nicaragua)*,2025,
