country,year,tiv
Costa Rica,1950,
Costa Rica,1951,
Costa Rica,1952,
Costa Rica,1953,
Costa Rica,1954,
Costa Rica,1955,3
Costa Rica,1956,0
Costa Rica,1957,
Costa Rica,1958,
Costa Rica,1959,
Costa Rica,1960,
Costa Rica,1961,
Costa Rica,1962,
Costa Rica,1963,1
Costa Rica,1964,
Costa Rica,1965,
Costa Rica,1966,0
Costa Rica,1967,
Costa Rica,1968,
Costa Rica,1969,
Costa Rica,1970,
Costa Rica,1971,
Costa Rica,1972,
Costa Rica,1973,1
Costa Rica,1974,
Costa Rica,1975,3
Costa Rica,1976,
Costa Rica,1977,
Costa Rica,1978,6
Costa Rica,1979,2
Costa Rica,1980,0
Costa Rica,1981,
Costa Rica,1982,
Costa Rica,1983,
Costa Rica,1984,0
Costa Rica,1985,1
Costa Rica,1986,1
Costa Rica,1987,
Costa Rica,1988,
Costa Rica,1989,2
Costa Rica,1990,
Costa Rica,1991,
Costa Rica,1992,
Costa Rica,1993,3
Costa Rica,1994,
Costa Rica,1995,
Costa Rica,1996,
Costa Rica,1997,
Costa Rica,1998,
Costa Rica,1999,
Costa Rica,2000,
Costa Rica,2001,
Costa Rica,2002,
Costa Rica,2003,
Costa Rica,2004,
Costa Rica,2005,
Costa Rica,2006,
Costa Rica,2007,
Costa Rica,2008,
Costa Rica,2009,
Costa Rica,2010,
Costa Rica,2011,
Costa Rica,2012,
Costa Rica,2013,
Costa Rica,2014,
Costa Rica,2015,
Costa Rica,2016,
Costa Rica,2017,
Costa Rica,2018,0
Costa Rica,2019,8
Costa Rica,2020,
Costa Rica,2021,
Costa Rica,2022,
Costa Rica,2023,
Costa Rica,2024,
Costa Rica,2025,
