country,year,tiv
Croatia,1950,
Croatia,1951,
Croatia,1952,
Croatia,1953,
Croatia,1954,
Croatia,1955,
Croatia,1956,
Croatia,1957,
Croatia,1958,
Croatia,1959,
Croatia,1960,
Croatia,1961,
Croatia,1962,
Croatia,1963,
Croatia,1964,
Croatia,1965,
Croatia,1966,
Croatia,1967,
Croatia,1968,
Croatia,1969,
Croatia,1970,
Croatia,1971,
Croatia,1972,
Croatia,1973,
Croatia,1974,
Croatia,1975,
Croatia,1976,
Croatia,1977,
Croatia,1978,
Croatia,1979,
Croatia,1980,
Croatia,1981,
Croatia,1982,
Croatia,1983,
Croatia,1984,
Croatia,1985,
Croatia,1986,
Croatia,1987,
Croatia,1988,
Croatia,1989,
Croatia,1990,
Croatia,1991,1
Croatia,1992,29
Croatia,1993,29
Croatia,1994,53
Croatia,1995,1
Croatia,1996,12
Croatia,1997,45
Croatia,1998,
Croatia,1999,
Croatia,2000,
Croatia,2001,57
Croatia,2002,2
Croatia,2003,24
Croatia,2004,8
Croatia,2005,
Croatia,2006,
Croatia,2007,20
Croatia,2008,103
Croatia,2009,4
Croatia,2010,10
Croatia,2011,18
Croatia,2012,18
Croatia,2013,
Croatia,2014,27
Croatia,2015,11
Croatia,2016,20
Croatia,2017,13
Croatia,2018,3
Croatia,2019,5
Croatia,2020,
Croatia,2021,
Croatia,2022,29
Croatia,2023,89
Croatia,2024,90
Croatia,2025,141
