country,year,tiv
Czechia,1950,
Czechia,1951,
Czechia,1952,
Czechia,1953,
Czechia,1954,
Czechia,1955,
Czechia,1956,
Czechia,1957,
Czechia,1958,
Czechia,1959,
Czechia,1960,
Czechia,1961,
Czechia,1962,
Czechia,1963,
Czechia,1964,
Czechia,1965,
Czechia,1966,
Czechia,1967,
Czechia,1968,
Czechia,1969,
Czechia,1970,
Czechia,1971,
Czechia,1972,
Czechia,1973,
Czechia,1974,
Czechia,1975,
Czechia,1976,
Czechia,1977,
Czechia,1978,
Czechia,1979,
Czechia,1980,
Czechia,1981,
Czechia,1982,
Czechia,1983,
Czechia,1984,
Czechia,1985,
Czechia,1986,
Czechia,1987,
Czechia,1988,
Czechia,1989,
Czechia,1990,
Czechia,1991,
Czechia,1992,
Czechia,1993,
Czechia,1994,
Czechia,1995,1
Czechia,1996,35
Czechia,1997,9
Czechia,1998,0
Czechia,1999,1
Czechia,2000,13
Czechia,2001,57
Czechia,2002,42
Czechia,2003,94
Czechia,2004,6
Czechia,2005,600
Czechia,2006,46
Czechia,2007,10
Czechia,2008,25
Czechia,2009,26
Czechia,2010,50
Czechia,2011,112
Czechia,2012,44
Czechia,2013,18
Czechia,2014,
Czechia,2015,
Czechia,2016,7
Czechia,2017,
Czechia,2018,7
Czechia,2019,1
Czechia,2020,8
Czechia,2021,32
Czechia,2022,69
Czechia,2023,148
Czechia,2024,58
Czechia,2025,19
