country,year,tiv
DR Congo,1950,
DR Congo,1951,
DR Congo,1952,
DR Congo,1953,
DR Congo,1954,
DR Congo,1955,
DR Congo,1956,
DR Congo,1957,
DR Congo,1958,
DR Congo,1959,
DR Congo,1960,2
DR Congo,1961,9
DR Congo,1962,13
DR Congo,1963,32
DR Congo,1964,64
DR Congo,1965,23
DR Congo,1966,27
DR Congo,1967,16
DR Congo,1968,7
DR Congo,1969,28
DR Congo,1970,19
DR Congo,1971,165
DR Congo,1972,15
DR Congo,1973,5
DR Congo,1974,9
DR Congo,1975,445
DR Congo,1976,134
DR Congo,1977,28
DR Congo,1978,38
DR Congo,1979,15
DR Congo,1980,10
DR Congo,1981,12
DR Congo,1982,15
DR Congo,1983,5
DR Congo,1984,16
DR Congo,1985,1
DR Congo,1986,1
DR Congo,1987,36
DR Congo,1988,1
DR Congo,1989,
DR Congo,1990,4
DR Congo,1991,
DR Congo,1992,2
DR Congo,1993,
DR Congo,1994,
DR Congo,1995,0
DR Congo,1996,61
DR Congo,1997,6
DR Congo,1998,10
DR Congo,1999,46
DR Congo,2000,89
DR Congo,2001,11
DR Congo,2002,18
DR Congo,2003,
DR Congo,2004,
DR Congo,2005,26
DR Congo,2006,24
DR Congo,2007,
DR Congo,2008,18
DR Congo,2009,37
DR Congo,2010,156
DR Congo,2011,
DR Congo,2012,15
DR Congo,2013,1
DR Congo,2014,
DR Congo,2015,3
DR Congo,2016,43
DR Congo,2017,
DR Congo,2018,1
DR Congo,2019,
DR Congo,2020,9
DR Congo,2021,
DR Congo,2022,
DR Congo,2023,27
DR Congo,2024,40
DR Congo,2025,44
