country,year,tiv
Darfur rebels (Sudan)*,1950,
Darfur rebels (Sudan)*,1951,
Darfur rebels (Sudan)*,1952,
Darfur rebels (Sudan)*,1953,
Darfur rebels (Sudan)*,1954,
Darfur rebels (Sudan)*,1955,
Darfur rebels (Sudan)*,1956,
Darfur rebels (Sudan)*,1957,
Darfur rebels (Sudan)*,1958,
Darfur rebels (Sudan)*,1959,
Darfur rebels (Sudan)*,1960,
Darfur rebels (Sudan)*,1961,
Darfur rebels (Sudan)*,1962,
Darfur rebels (Sudan)*,1963,
Darfur rebels (Sudan)*,1964,
Darfur rebels (Sudan)*,1965,
Darfur rebels (Sudan)*,1966,
Darfur rebels (Sudan)*,1967,
Darfur rebels (Sudan)*,1968,
Darfur rebels (Sudan)*,1969,
Darfur rebels (Sudan)*,1970,
Darfur rebels (Sudan)*,1971,
Darfur rebels (Sudan)*,1972,
Darfur rebels (Sudan)*,1973,
Darfur rebels (Sudan)*,1974,
Darfur rebels (Sudan)*,1975,
Darfur rebels (Sudan)*,1976,
Darfur rebels (Sudan)*,1977,
Darfur rebels (Sudan)*,1978,
Darfur rebels (Sudan)*,1979,
Darfur rebels (Sudan)*,1980,
Darfur rebels (Sudan)*,1981,
Darfur rebels (Sudan)*,1982,
Darfur rebels (Sudan)*,1983,
Darfur rebels (Sudan)*,1984,
Darfur rebels (Sudan)*,1985,
Darfur rebels (Sudan)*,1986,
Darfur rebels (Sudan)*,1987,
Darfur rebels (Sudan)*,1988,
Darfur rebels (Sudan)*,1989,
Darfur rebels (Sudan)*,1990,
Darfur rebels (Sudan)*,1991,
Darfur rebels (Sudan)*,1992,
Darfur rebels (Sudan)*,1993,
Darfur rebels (Sudan)*,1994,
Darfur rebels (Sudan)*,1995,
Darfur rebels (Sudan)*,1996,
Darfur rebels (Sudan)*,1997,
Darfur rebels (Sudan)*,1998,
Darfur rebels (Sudan)*,1999,
Darfur rebels (Sudan)*,2000,
Darfur rebels (Sudan)*,2001,
Darfur rebels (Sudan)*,2002,
Darfur rebels (Sudan)*,2003,
Darfur rebels (Sudan)*,2004,
Darfur rebels (Sudan)*,2005,
Darfur rebels (Sudan)*,2006,
Darfur rebels (Sudan)*,2007,
Darfur rebels (Sudan)*,2008,
Darfur rebels (Sudan)*,2009,
Darfur rebels (Sudan)*,2010,
Darfur rebels (Sudan)*,2011,
Darfur rebels (Sudan)*,2012,
Darfur rebels (Sudan)*,2013,
Darfur rebels (Sudan)*,2014,
Darfur rebels (Sudan)*,2015,
Darfur rebels (Sudan)*,2016,1
Darfur rebels (Sudan)*,2017,
Darfur rebels (Sudan)*,2018,0
Darfur rebels (Sudan)*,2019,
Darfur rebels (Sudan)*,2020,
Darfur rebels (Sudan)*,2021,
Darfur rebels (Sudan)*,2022,
Darfur rebels (Sudan)*,2023,
Darfur rebels (Sudan)*,2024,
Darfur rebels (Sudan)*,2025,
