country,year,tiv
Denmark,1950,44
Denmark,1951,132
Denmark,1952,397
Denmark,1953,616
Denmark,1954,286
Denmark,1955,175
Denmark,1956,234
Denmark,1957,125
Denmark,1958,111
Denmark,1959,203
Denmark,1960,142
Denmark,1961,335
Denmark,1962,61
Denmark,1963,137
Denmark,1964,491
Denmark,1965,455
Denmark,1966,66
Denmark,1967,72
Denmark,1968,77
Denmark,1969,19
Denmark,1970,212
Denmark,1971,384
Denmark,1972,156
Denmark,1973,
Denmark,1974,39
Denmark,1975,89
Denmark,1976,389
Denmark,1977,391
Denmark,1978,360
Denmark,1979,55
Denmark,1980,480
Denmark,1981,477
Denmark,1982,470
Denmark,1983,231
Denmark,1984,70
Denmark,1985,88
Denmark,1986,16
Denmark,1987,99
Denmark,1988,98
Denmark,1989,187
Denmark,1990,131
Denmark,1991,156
Denmark,1992,72
Denmark,1993,51
Denmark,1994,88
Denmark,1995,134
Denmark,1996,75
Denmark,1997,77
Denmark,1998,120
Denmark,1999,74
Denmark,2000,50
Denmark,2001,148
Denmark,2002,39
Denmark,2003,48
Denmark,2004,232
Denmark,2005,117
Denmark,2006,86
Denmark,2007,133
Denmark,2008,98
Denmark,2009,134
Denmark,2010,22
Denmark,2011,6
Denmark,2012,103
Denmark,2013,34
Denmark,2014,176
Denmark,2015,42
Denmark,2016,103
Denmark,2017,53
Denmark,2018,54
Denmark,2019,55
Denmark,2020,63
Denmark,2021,264
Denmark,2022,214
Denmark,2023,280
Denmark,2024,440
Denmark,2025,278
