country,year,tiv
Djibouti,1950,
Djibouti,1951,
Djibouti,1952,
Djibouti,1953,
Djibouti,1954,
Djibouti,1955,
Djibouti,1956,
Djibouti,1957,
Djibouti,1958,
Djibouti,1959,
Djibouti,1960,
Djibouti,1961,
Djibouti,1962,
Djibouti,1963,
Djibouti,1964,
Djibouti,1965,
Djibouti,1966,
Djibouti,1967,
Djibouti,1968,
Djibouti,1969,
Djibouti,1970,
Djibouti,1971,
Djibouti,1972,
Djibouti,1973,
Djibouti,1974,
Djibouti,1975,
Djibouti,1976,
Djibouti,1977,3
Djibouti,1978,6
Djibouti,1979,36
Djibouti,1980,5
Djibouti,1981,6
Djibouti,1982,3
Djibouti,1983,3
Djibouti,1984,
Djibouti,1985,1
Djibouti,1986,8
Djibouti,1987,1
Djibouti,1988,
Djibouti,1989,
Djibouti,1990,
Djibouti,1991,1
Djibouti,1992,19
Djibouti,1993,6
Djibouti,1994,
Djibouti,1995,2
Djibouti,1996,
Djibouti,1997,
Djibouti,1998,
Djibouti,1999,
Djibouti,2000,1
Djibouti,2001,
Djibouti,2002,3
Djibouti,2003,
Djibouti,2004,4
Djibouti,2005,7
Djibouti,2006,
Djibouti,2007,
Djibouti,2008,
Djibouti,2009,
Djibouti,2010,
Djibouti,2011,
Djibouti,2012,6
Djibouti,2013,5
Djibouti,2014,15
Djibouti,2015,4
Djibouti,2016,11
Djibouti,2017,
Djibouti,2018,
Djibouti,2019,11
Djibouti,2020,1
Djibouti,2021,46
Djibouti,2022,19
Djibouti,2023,0
Djibouti,2024,
Djibouti,2025,
