country,year,tiv
ELF (Ethiopia)*,1950,
ELF (Ethiopia)*,1951,
ELF (Ethiopia)*,1952,
ELF (Ethiopia)*,1953,
ELF (Ethiopia)*,1954,
ELF (Ethiopia)*,1955,
ELF (Ethiopia)*,1956,
ELF (Ethiopia)*,1957,
ELF (Ethiopia)*,1958,
ELF (Ethiopia)*,1959,
ELF (Ethiopia)*,1960,
ELF (Ethiopia)*,1961,
ELF (Ethiopia)*,1962,
ELF (Ethiopia)*,1963,
ELF (Ethiopia)*,1964,
ELF (Ethiopia)*,1965,
ELF (Ethiopia)*,1966,
ELF (Ethiopia)*,1967,
ELF (Ethiopia)*,1968,
ELF (Ethiopia)*,1969,
ELF (Ethiopia)*,1970,
ELF (Ethiopia)*,1971,
ELF (Ethiopia)*,1972,
ELF (Ethiopia)*,1973,
ELF (Ethiopia)*,1974,2
ELF (Ethiopia)*,1975,2
ELF (Ethiopia)*,1976,
ELF (Ethiopia)*,1977,
ELF (Ethiopia)*,1978,
ELF (Ethiopia)*,1979,
ELF (Ethiopia)*,1980,
ELF (Ethiopia)*,1981,
ELF (Ethiopia)*,1982,
ELF (Ethiopia)*,1983,
ELF (Ethiopia)*,1984,
ELF (Ethiopia)*,1985,
ELF (Ethiopia)*,1986,
ELF (Ethiopia)*,1987,
ELF (Ethiopia)*,1988,
ELF (Ethiopia)*,1989,
ELF (Ethiopia)*,1990,
ELF (Ethiopia)*,1991,
ELF (Ethiopia)*,1992,
ELF (Ethiopia)*,1993,
ELF (Ethiopia)*,1994,
ELF (Ethiopia)*,1995,
ELF (Ethiopia)*,1996,
ELF (Ethiopia)*,1997,
ELF (Ethiopia)*,1998,
ELF (Ethiopia)*,1999,
ELF (Ethiopia)*,2000,
ELF (Ethiopia)*,2001,
ELF (Ethiopia)*,2002,
ELF (Ethiopia)*,2003,
ELF (Ethiopia)*,2004,
ELF (Ethiopia)*,2005,
ELF (Ethiopia)*,2006,
ELF (Ethiopia)*,2007,
ELF (Ethiopia)*,2008,
ELF (Ethiopia)*,2009,
ELF (Ethiopia)*,2010,
ELF (Ethiopia)*,2011,
ELF (Ethiopia)*,2012,
ELF (Ethiopia)*,2013,
ELF (Ethiopia)*,2014,
ELF (Ethiopia)*,2015,
ELF (Ethiopia)*,2016,
ELF (Ethiopia)*,2017,
ELF (Ethiopia)*,2018,
ELF (Ethiopia)*,2019,
ELF (Ethiopia)*,2020,
ELF (Ethiopia)*,2021,
ELF (Ethiopia)*,2022,
ELF (Ethiopia)*,2023,
ELF (Ethiopia)*,2024,
ELF (Ethiopia)*,2025,
