country,year,tiv
EPLF (Ethiopia)*,1950,
EPLF (Ethiopia)*,1951,
EPLF (Ethiopia)*,1952,
EPLF (Ethiopia)*,1953,
EPLF (Ethiopia)*,1954,
EPLF (Ethiopia)*,1955,
EPLF (Ethiopia)*,1956,
EPLF (Ethiopia)*,1957,
EPLF (Ethiopia)*,1958,
EPLF (Ethiopia)*,1959,
EPLF (Ethiopia)*,1960,
EPLF (Ethiopia)*,1961,
EPLF (Ethiopia)*,1962,
EPLF (Ethiopia)*,1963,
EPLF (Ethiopia)*,1964,
EPLF (Ethiopia)*,1965,
EPLF (Ethiopia)*,1966,
EPLF (Ethiopia)*,1967,
EPLF (Ethiopia)*,1968,
EPLF (Ethiopia)*,1969,
EPLF (Ethiopia)*,1970,
EPLF (Ethiopia)*,1971,
EPLF (Ethiopia)*,1972,
EPLF (Ethiopia)*,1973,
EPLF (Ethiopia)*,1974,
EPLF (Ethiopia)*,1975,
EPLF (Ethiopia)*,1976,
EPLF (Ethiopia)*,1977,
EPLF (Ethiopia)*,1978,
EPLF (Ethiopia)*,1979,
EPLF (Ethiopia)*,1980,0
EPLF (Ethiopia)*,1981,1
EPLF (Ethiopia)*,1982,1
EPLF (Ethiopia)*,1983,0
EPLF (Ethiopia)*,1984,
EPLF (Ethiopia)*,1985,
EPLF (Ethiopia)*,1986,
EPLF (Ethiopia)*,1987,
EPLF (Ethiopia)*,1988,
EPLF (Ethiopia)*,1989,
EPLF (Ethiopia)*,1990,
EPLF (Ethiopia)*,1991,
EPLF (Ethiopia)*,1992,
EPLF (Ethiopia)*,1993,
EPLF (Ethiopia)*,1994,
EPLF (Ethiopia)*,1995,
EPLF (Ethiopia)*,1996,
EPLF (Ethiopia)*,1997,
EPLF (Ethiopia)*,1998,
EPLF (Ethiopia)*,1999,
EPLF (Ethiopia)*,2000,
EPLF (Ethiopia)*,2001,
EPLF (Ethiopia)*,2002,
EPLF (Ethiopia)*,2003,
EPLF (Ethiopia)*,2004,
EPLF (Ethiopia)*,2005,
EPLF (Ethiopia)*,2006,
EPLF (Ethiopia)*,2007,
EPLF (Ethiopia)*,2008,
EPLF (Ethiopia)*,2009,
EPLF (Ethiopia)*,2010,
EPLF (Ethiopia)*,2011,
EPLF (Ethiopia)*,2012,
EPLF (Ethiopia)*,2013,
EPLF (Ethiopia)*,2014,
EPLF (Ethiopia)*,2015,
EPLF (Ethiopia)*,2016,
EPLF (Ethiopia)*,2017,
EPLF (Ethiopia)*,2018,
EPLF (Ethiopia)*,2019,
EPLF (Ethiopia)*,2020,
EPLF (Ethiopia)*,2021,
EPLF (Ethiopia)*,2022,
EPLF (Ethiopia)*,2023,
EPLF (Ethiopia)*,2024,
EPLF (Ethiopia)*,2025,
