country,year,tiv
Ecuador,1950,
Ecuador,1951,
Ecuador,1952,
Ecuador,1953,10
Ecuador,1954,14
Ecuador,1955,124
Ecuador,1956,6
Ecuador,1957,
Ecuador,1958,13
Ecuador,1959,
Ecuador,1960,66
Ecuador,1961,
Ecuador,1962,
Ecuador,1963,3
Ecuador,1964,3
Ecuador,1965,29
Ecuador,1966,9
Ecuador,1967,21
Ecuador,1968,5
Ecuador,1969,1
Ecuador,1970,5
Ecuador,1971,85
Ecuador,1972,41
Ecuador,1973,15
Ecuador,1974,22
Ecuador,1975,42
Ecuador,1976,226
Ecuador,1977,582
Ecuador,1978,224
Ecuador,1979,110
Ecuador,1980,289
Ecuador,1981,122
Ecuador,1982,291
Ecuador,1983,360
Ecuador,1984,322
Ecuador,1985,23
Ecuador,1986,30
Ecuador,1987,26
Ecuador,1988,26
Ecuador,1989,20
Ecuador,1990,3
Ecuador,1991,136
Ecuador,1992,4
Ecuador,1993,18
Ecuador,1994,17
Ecuador,1995,39
Ecuador,1996,29
Ecuador,1997,103
Ecuador,1998,31
Ecuador,1999,27
Ecuador,2000,9
Ecuador,2001,41
Ecuador,2002,1
Ecuador,2003,
Ecuador,2004,
Ecuador,2005,39
Ecuador,2006,47
Ecuador,2007,2
Ecuador,2008,102
Ecuador,2009,77
Ecuador,2010,90
Ecuador,2011,70
Ecuador,2012,89
Ecuador,2013,12
Ecuador,2014,56
Ecuador,2015,27
Ecuador,2016,26
Ecuador,2017,20
Ecuador,2018,5
Ecuador,2019,3
Ecuador,2020,21
Ecuador,2021,16
Ecuador,2022,9
Ecuador,2023,7
Ecuador,2024,19
Ecuador,2025,30
