country,year,tiv
Egypt,1950,152
Egypt,1951,46
Egypt,1952,1
Egypt,1953,2
Egypt,1954,135
Egypt,1955,729
Egypt,1956,1203
Egypt,1957,998
Egypt,1958,394
Egypt,1959,273
Egypt,1960,164
Egypt,1961,544
Egypt,1962,685
Egypt,1963,741
Egypt,1964,851
Egypt,1965,962
Egypt,1966,1540
Egypt,1967,2241
Egypt,1968,1276
Egypt,1969,1242
Egypt,1970,1983
Egypt,1971,1982
Egypt,1972,3255
Egypt,1973,2607
Egypt,1974,1108
Egypt,1975,566
Egypt,1976,159
Egypt,1977,410
Egypt,1978,136
Egypt,1979,631
Egypt,1980,1016
Egypt,1981,1195
Egypt,1982,2508
Egypt,1983,1695
Egypt,1984,1506
Egypt,1985,955
Egypt,1986,1465
Egypt,1987,1634
Egypt,1988,449
Egypt,1989,319
Egypt,1990,563
Egypt,1991,887
Egypt,1992,973
Egypt,1993,1258
Egypt,1994,2027
Egypt,1995,1704
Egypt,1996,969
Egypt,1997,1051
Egypt,1998,483
Egypt,1999,517
Egypt,2000,833
Egypt,2001,824
Egypt,2002,717
Egypt,2003,633
Egypt,2004,660
Egypt,2005,833
Egypt,2006,695
Egypt,2007,660
Egypt,2008,326
Egypt,2009,95
Egypt,2010,689
Egypt,2011,653
Egypt,2012,308
Egypt,2013,719
Egypt,2014,430
Egypt,2015,1443
Egypt,2016,1653
Egypt,2017,2480
Egypt,2018,1637
Egypt,2019,1088
Egypt,2020,1398
Egypt,2021,1299
Egypt,2022,742
Egypt,2023,1152
Egypt,2024,128
Egypt,2025,697
