country,year,tiv
El Salvador,1950,0
El Salvador,1951,
El Salvador,1952,
El Salvador,1953,
El Salvador,1954,1
El Salvador,1955,1
El Salvador,1956,
El Salvador,1957,17
El Salvador,1958,
El Salvador,1959,
El Salvador,1960,
El Salvador,1961,
El Salvador,1962,
El Salvador,1963,0
El Salvador,1964,
El Salvador,1965,1
El Salvador,1966,1
El Salvador,1967,0
El Salvador,1968,12
El Salvador,1969,7
El Salvador,1970,13
El Salvador,1971,1
El Salvador,1972,
El Salvador,1973,1
El Salvador,1974,29
El Salvador,1975,46
El Salvador,1976,19
El Salvador,1977,10
El Salvador,1978,3
El Salvador,1979,11
El Salvador,1980,13
El Salvador,1981,5
El Salvador,1982,32
El Salvador,1983,21
El Salvador,1984,65
El Salvador,1985,42
El Salvador,1986,5
El Salvador,1987,
El Salvador,1988,
El Salvador,1989,
El Salvador,1990,
El Salvador,1991,21
El Salvador,1992,4
El Salvador,1993,2
El Salvador,1994,
El Salvador,1995,4
El Salvador,1996,4
El Salvador,1997,
El Salvador,1998,2
El Salvador,1999,
El Salvador,2000,
El Salvador,2001,
El Salvador,2002,19
El Salvador,2003,10
El Salvador,2004,
El Salvador,2005,
El Salvador,2006,
El Salvador,2007,
El Salvador,2008,3
El Salvador,2009,2
El Salvador,2010,2
El Salvador,2011,2
El Salvador,2012,4
El Salvador,2013,1
El Salvador,2014,21
El Salvador,2015,
El Salvador,2016,
El Salvador,2017,1
El Salvador,2018,1
El Salvador,2019,2
El Salvador,2020,4
El Salvador,2021,4
El Salvador,2022,7
El Salvador,2023,4
El Salvador,2024,0
El Salvador,2025,3
