country,year,tiv
Equatorial Guinea,1950,
Equatorial Guinea,1951,
Equatorial Guinea,1952,
Equatorial Guinea,1953,
Equatorial Guinea,1954,
Equatorial Guinea,1955,
Equatorial Guinea,1956,
Equatorial Guinea,1957,
Equatorial Guinea,1958,
Equatorial Guinea,1959,
Equatorial Guinea,1960,
Equatorial Guinea,1961,
Equatorial Guinea,1962,
Equatorial Guinea,1963,
Equatorial Guinea,1964,
Equatorial Guinea,1965,
Equatorial Guinea,1966,
Equatorial Guinea,1967,
Equatorial Guinea,1968,
Equatorial Guinea,1969,
Equatorial Guinea,1970,
Equatorial Guinea,1971,
Equatorial Guinea,1972,
Equatorial Guinea,1973,
Equatorial Guinea,1974,
Equatorial Guinea,1975,
Equatorial Guinea,1976,
Equatorial Guinea,1977,
Equatorial Guinea,1978,5
Equatorial Guinea,1979,
Equatorial Guinea,1980,1
Equatorial Guinea,1981,
Equatorial Guinea,1982,5
Equatorial Guinea,1983,
Equatorial Guinea,1984,
Equatorial Guinea,1985,
Equatorial Guinea,1986,
Equatorial Guinea,1987,
Equatorial Guinea,1988,
Equatorial Guinea,1989,
Equatorial Guinea,1990,
Equatorial Guinea,1991,
Equatorial Guinea,1992,
Equatorial Guinea,1993,
Equatorial Guinea,1994,
Equatorial Guinea,1995,
Equatorial Guinea,1996,
Equatorial Guinea,1997,
Equatorial Guinea,1998,
Equatorial Guinea,1999,3
Equatorial Guinea,2000,
Equatorial Guinea,2001,7
Equatorial Guinea,2002,
Equatorial Guinea,2003,
Equatorial Guinea,2004,7
Equatorial Guinea,2005,11
Equatorial Guinea,2006,7
Equatorial Guinea,2007,28
Equatorial Guinea,2008,30
Equatorial Guinea,2009,68
Equatorial Guinea,2010,3
Equatorial Guinea,2011,56
Equatorial Guinea,2012,60
Equatorial Guinea,2013,2
Equatorial Guinea,2014,92
Equatorial Guinea,2015,
Equatorial Guinea,2016,
Equatorial Guinea,2017,
Equatorial Guinea,2018,20
Equatorial Guinea,2019,
Equatorial Guinea,2020,
Equatorial Guinea,2021,0
Equatorial Guinea,2022,
Equatorial Guinea,2023,
Equatorial Guinea,2024,12
Equatorial Guinea,2025,
