country,year,tiv
Estonia,1950,
Estonia,1951,
Estonia,1952,
Estonia,1953,
Estonia,1954,
Estonia,1955,
Estonia,1956,
Estonia,1957,
Estonia,1958,
Estonia,1959,
Estonia,1960,
Estonia,1961,
Estonia,1962,
Estonia,1963,
Estonia,1964,
Estonia,1965,
Estonia,1966,
Estonia,1967,
Estonia,1968,
Estonia,1969,
Estonia,1970,
Estonia,1971,
Estonia,1972,
Estonia,1973,
Estonia,1974,
Estonia,1975,
Estonia,1976,
Estonia,1977,
Estonia,1978,
Estonia,1979,
Estonia,1980,
Estonia,1981,
Estonia,1982,
Estonia,1983,
Estonia,1984,
Estonia,1985,
Estonia,1986,
Estonia,1987,
Estonia,1988,
Estonia,1989,
Estonia,1990,
Estonia,1991,
Estonia,1992,2
Estonia,1993,3
Estonia,1994,15
Estonia,1995,17
Estonia,1996,1
Estonia,1997,13
Estonia,1998,4
Estonia,1999,1
Estonia,2000,27
Estonia,2001,
Estonia,2002,2
Estonia,2003,14
Estonia,2004,11
Estonia,2005,26
Estonia,2006,4
Estonia,2007,18
Estonia,2008,28
Estonia,2009,42
Estonia,2010,13
Estonia,2011,1
Estonia,2012,2
Estonia,2013,18
Estonia,2014,2
Estonia,2015,18
Estonia,2016,32
Estonia,2017,36
Estonia,2018,19
Estonia,2019,20
Estonia,2020,25
Estonia,2021,20
Estonia,2022,15
Estonia,2023,23
Estonia,2024,115
Estonia,2025,204
