country,year,tiv
Ethiopia,1950,2
Ethiopia,1951,19
Ethiopia,1952,
Ethiopia,1953,6
Ethiopia,1954,8
Ethiopia,1955,1
Ethiopia,1956,1
Ethiopia,1957,16
Ethiopia,1958,19
Ethiopia,1959,6
Ethiopia,1960,24
Ethiopia,1961,4
Ethiopia,1962,21
Ethiopia,1963,27
Ethiopia,1964,4
Ethiopia,1965,14
Ethiopia,1966,99
Ethiopia,1967,31
Ethiopia,1968,34
Ethiopia,1969,24
Ethiopia,1970,90
Ethiopia,1971,54
Ethiopia,1972,53
Ethiopia,1973,5
Ethiopia,1974,36
Ethiopia,1975,58
Ethiopia,1976,113
Ethiopia,1977,1133
Ethiopia,1978,965
Ethiopia,1979,113
Ethiopia,1980,330
Ethiopia,1981,328
Ethiopia,1982,516
Ethiopia,1983,403
Ethiopia,1984,228
Ethiopia,1985,268
Ethiopia,1986,348
Ethiopia,1987,239
Ethiopia,1988,155
Ethiopia,1989,47
Ethiopia,1990,2
Ethiopia,1991,80
Ethiopia,1992,
Ethiopia,1993,
Ethiopia,1994,
Ethiopia,1995,
Ethiopia,1996,
Ethiopia,1997,69
Ethiopia,1998,208
Ethiopia,1999,152
Ethiopia,2000,114
Ethiopia,2001,
Ethiopia,2002,20
Ethiopia,2003,174
Ethiopia,2004,239
Ethiopia,2005,
Ethiopia,2006,
Ethiopia,2007,
Ethiopia,2008,
Ethiopia,2009,
Ethiopia,2010,58
Ethiopia,2011,76
Ethiopia,2012,193
Ethiopia,2013,154
Ethiopia,2014,33
Ethiopia,2015,10
Ethiopia,2016,55
Ethiopia,2017,51
Ethiopia,2018,14
Ethiopia,2019,76
Ethiopia,2020,25
Ethiopia,2021,16
Ethiopia,2022,45
Ethiopia,2023,2
Ethiopia,2024,48
Ethiopia,2025,63
