country,year,tiv
FAN (Chad)*,1950,
FAN (Chad)*,1951,
FAN (Chad)*,1952,
FAN (Chad)*,1953,
FAN (Chad)*,1954,
FAN (Chad)*,1955,
FAN (Chad)*,1956,
FAN (Chad)*,1957,
FAN (Chad)*,1958,
FAN (Chad)*,1959,
FAN (Chad)*,1960,
FAN (Chad)*,1961,
FAN (Chad)*,1962,
FAN (Chad)*,1963,
FAN (Chad)*,1964,
FAN (Chad)*,1965,
FAN (Chad)*,1966,
FAN (Chad)*,1967,
FAN (Chad)*,1968,
FAN (Chad)*,1969,
FAN (Chad)*,1970,
FAN (Chad)*,1971,
FAN (Chad)*,1972,
FAN (Chad)*,1973,
FAN (Chad)*,1974,
FAN (Chad)*,1975,
FAN (Chad)*,1976,
FAN (Chad)*,1977,
FAN (Chad)*,1978,0
FAN (Chad)*,1979,
FAN (Chad)*,1980,
FAN (Chad)*,1981,
FAN (Chad)*,1982,
FAN (Chad)*,1983,
FAN (Chad)*,1984,
FAN (Chad)*,1985,
FAN (Chad)*,1986,
FAN (Chad)*,1987,
FAN (Chad)*,1988,
FAN (Chad)*,1989,
FAN (Chad)*,1990,
FAN (Chad)*,1991,
FAN (Chad)*,1992,
FAN (Chad)*,1993,
FAN (Chad)*,1994,
FAN (Chad)*,1995,
FAN (Chad)*,1996,
FAN (Chad)*,1997,
FAN (Chad)*,1998,
FAN (Chad)*,1999,
FAN (Chad)*,2000,
FAN (Chad)*,2001,
FAN (Chad)*,2002,
FAN (Chad)*,2003,
FAN (Chad)*,2004,
FAN (Chad)*,2005,
FAN (Chad)*,2006,
FAN (Chad)*,2007,
FAN (Chad)*,2008,
FAN (Chad)*,2009,
FAN (Chad)*,2010,
FAN (Chad)*,2011,
FAN (Chad)*,2012,
FAN (Chad)*,2013,
FAN (Chad)*,2014,
FAN (Chad)*,2015,
FAN (Chad)*,2016,
FAN (Chad)*,2017,
FAN (Chad)*,2018,
FAN (Chad)*,2019,
FAN (Chad)*,2020,
FAN (Chad)*,2021,
FAN (Chad)*,2022,
FAN (Chad)*,2023,
FAN (Chad)*,2024,
FAN (Chad)*,2025,
