country,year,tiv
FMLN (El Salvador)*,1950,
FMLN (El Salvador)*,1951,
FMLN (El Salvador)*,1952,
FMLN (El Salvador)*,1953,
FMLN (El Salvador)*,1954,
FMLN (El Salvador)*,1955,
FMLN (El Salvador)*,1956,
FMLN (El Salvador)*,1957,
FMLN (El Salvador)*,1958,
FMLN (El Salvador)*,1959,
FMLN (El Salvador)*,1960,
FMLN (El Salvador)*,1961,
FMLN (El Salvador)*,1962,
FMLN (El Salvador)*,1963,
FMLN (El Salvador)*,1964,
FMLN (El Salvador)*,1965,
FMLN (El Salvador)*,1966,
FMLN (El Salvador)*,1967,
FMLN (El Salvador)*,1968,
FMLN (El Salvador)*,1969,
FMLN (El Salvador)*,1970,
FMLN (El Salvador)*,1971,
FMLN (El Salvador)*,1972,
FMLN (El Salvador)*,1973,
FMLN (El Salvador)*,1974,
FMLN (El Salvador)*,1975,
FMLN (El Salvador)*,1976,
FMLN (El Salvador)*,1977,
FMLN (El Salvador)*,1978,
FMLN (El Salvador)*,1979,
FMLN (El Salvador)*,1980,
FMLN (El Salvador)*,1981,
FMLN (El Salvador)*,1982,
FMLN (El Salvador)*,1983,
FMLN (El Salvador)*,1984,
FMLN (El Salvador)*,1985,
FMLN (El Salvador)*,1986,
FMLN (El Salvador)*,1987,
FMLN (El Salvador)*,1988,
FMLN (El Salvador)*,1989,1
FMLN (El Salvador)*,1990,2
FMLN (El Salvador)*,1991,
FMLN (El Salvador)*,1992,
FMLN (El Salvador)*,1993,
FMLN (El Salvador)*,1994,
FMLN (El Salvador)*,1995,
FMLN (El Salvador)*,1996,
FMLN (El Salvador)*,1997,
FMLN (El Salvador)*,1998,
FMLN (El Salvador)*,1999,
FMLN (El Salvador)*,2000,
FMLN (El Salvador)*,2001,
FMLN (El Salvador)*,2002,
FMLN (El Salvador)*,2003,
FMLN (El Salvador)*,2004,
FMLN (El Salvador)*,2005,
FMLN (El Salvador)*,2006,
FMLN (El Salvador)*,2007,
FMLN (El Salvador)*,2008,
FMLN (El Salvador)*,2009,
FMLN (El Salvador)*,2010,
FMLN (El Salvador)*,2011,
FMLN (El Salvador)*,2012,
FMLN (El Salvador)*,2013,
FMLN (El Salvador)*,2014,
FMLN (El Salvador)*,2015,
FMLN (El Salvador)*,2016,
FMLN (El Salvador)*,2017,
FMLN (El Salvador)*,2018,
FMLN (El Salvador)*,2019,
FMLN (El Salvador)*,2020,
FMLN (El Salvador)*,2021,
FMLN (El Salvador)*,2022,
FMLN (El Salvador)*,2023,
FMLN (El Salvador)*,2024,
FMLN (El Salvador)*,2025,
