country,year,tiv
FNLA (Angola)*,1950,
FNLA (Angola)*,1951,
FNLA (Angola)*,1952,
FNLA (Angola)*,1953,
FNLA (Angola)*,1954,
FNLA (Angola)*,1955,
FNLA (Angola)*,1956,
FNLA (Angola)*,1957,
FNLA (Angola)*,1958,
FNLA (Angola)*,1959,
FNLA (Angola)*,1960,
FNLA (Angola)*,1961,
FNLA (Angola)*,1962,
FNLA (Angola)*,1963,
FNLA (Angola)*,1964,
FNLA (Angola)*,1965,
FNLA (Angola)*,1966,
FNLA (Angola)*,1967,
FNLA (Angola)*,1968,
FNLA (Angola)*,1969,
FNLA (Angola)*,1970,
FNLA (Angola)*,1971,
FNLA (Angola)*,1972,
FNLA (Angola)*,1973,
FNLA (Angola)*,1974,
FNLA (Angola)*,1975,23
FNLA (Angola)*,1976,
FNLA (Angola)*,1977,
FNLA (Angola)*,1978,
FNLA (Angola)*,1979,
FNLA (Angola)*,1980,
FNLA (Angola)*,1981,
FNLA (Angola)*,1982,
FNLA (Angola)*,1983,
FNLA (Angola)*,1984,
FNLA (Angola)*,1985,
FNLA (Angola)*,1986,
FNLA (Angola)*,1987,
FNLA (Angola)*,1988,
FNLA (Angola)*,1989,
FNLA (Angola)*,1990,
FNLA (Angola)*,1991,
FNLA (Angola)*,1992,
FNLA (Angola)*,1993,
FNLA (Angola)*,1994,
FNLA (Angola)*,1995,
FNLA (Angola)*,1996,
FNLA (Angola)*,1997,
FNLA (Angola)*,1998,
FNLA (Angola)*,1999,
FNLA (Angola)*,2000,
FNLA (Angola)*,2001,
FNLA (Angola)*,2002,
FNLA (Angola)*,2003,
FNLA (Angola)*,2004,
FNLA (Angola)*,2005,
FNLA (Angola)*,2006,
FNLA (Angola)*,2007,
FNLA (Angola)*,2008,
FNLA (Angola)*,2009,
FNLA (Angola)*,2010,
FNLA (Angola)*,2011,
FNLA (Angola)*,2012,
FNLA (Angola)*,2013,
FNLA (Angola)*,2014,
FNLA (Angola)*,2015,
FNLA (Angola)*,2016,
FNLA (Angola)*,2017,
FNLA (Angola)*,2018,
FNLA (Angola)*,2019,
FNLA (Angola)*,2020,
FNLA (Angola)*,2021,
FNLA (Angola)*,2022,
FNLA (Angola)*,2023,
FNLA (Angola)*,2024,
FNLA (Angola)*,2025,
