country,year,tiv
Fiji,1950,
Fiji,1951,
Fiji,1952,
Fiji,1953,
Fiji,1954,
Fiji,1955,
Fiji,1956,
Fiji,1957,
Fiji,1958,
Fiji,1959,
Fiji,1960,
Fiji,1961,
Fiji,1962,
Fiji,1963,
Fiji,1964,
Fiji,1965,
Fiji,1966,
Fiji,1967,
Fiji,1968,
Fiji,1969,
Fiji,1970,
Fiji,1971,
Fiji,1972,
Fiji,1973,
Fiji,1974,
Fiji,1975,8
Fiji,1976,4
Fiji,1977,
Fiji,1978,
Fiji,1979,
Fiji,1980,
Fiji,1981,
Fiji,1982,
Fiji,1983,
Fiji,1984,
Fiji,1985,
Fiji,1986,
Fiji,1987,
Fiji,1988,
Fiji,1989,
Fiji,1990,1
Fiji,1991,
Fiji,1992,3
Fiji,1993,
Fiji,1994,6
Fiji,1995,12
Fiji,1996,
Fiji,1997,
Fiji,1998,
Fiji,1999,
Fiji,2000,
Fiji,2001,
Fiji,2002,
Fiji,2003,
Fiji,2004,
Fiji,2005,
Fiji,2006,
Fiji,2007,
Fiji,2008,
Fiji,2009,
Fiji,2010,
Fiji,2011,
Fiji,2012,
Fiji,2013,
Fiji,2014,
Fiji,2015,
Fiji,2016,
Fiji,2017,1
Fiji,2018,
Fiji,2019,
Fiji,2020,7
Fiji,2021,
Fiji,2022,
Fiji,2023,
Fiji,2024,16
Fiji,2025,
