country,year,tiv
Finland,1950,
Finland,1951,
Finland,1952,18
Finland,1953,
Finland,1954,
Finland,1955,11
Finland,1956,15
Finland,1957,3
Finland,1958,25
Finland,1959,41
Finland,1960,60
Finland,1961,52
Finland,1962,48
Finland,1963,252
Finland,1964,103
Finland,1965,81
Finland,1966,42
Finland,1967,76
Finland,1968,23
Finland,1969,21
Finland,1970,15
Finland,1971,4
Finland,1972,26
Finland,1973,13
Finland,1974,172
Finland,1975,129
Finland,1976,74
Finland,1977,12
Finland,1978,105
Finland,1979,47
Finland,1980,328
Finland,1981,118
Finland,1982,132
Finland,1983,112
Finland,1984,127
Finland,1985,203
Finland,1986,98
Finland,1987,66
Finland,1988,141
Finland,1989,86
Finland,1990,88
Finland,1991,65
Finland,1992,442
Finland,1993,406
Finland,1994,234
Finland,1995,195
Finland,1996,552
Finland,1997,397
Finland,1998,560
Finland,1999,768
Finland,2000,472
Finland,2001,7
Finland,2002,15
Finland,2003,242
Finland,2004,67
Finland,2005,93
Finland,2006,132
Finland,2007,149
Finland,2008,134
Finland,2009,37
Finland,2010,41
Finland,2011,60
Finland,2012,87
Finland,2013,254
Finland,2014,182
Finland,2015,268
Finland,2016,122
Finland,2017,47
Finland,2018,82
Finland,2019,86
Finland,2020,96
Finland,2021,20
Finland,2022,12
Finland,2023,37
Finland,2024,105
Finland,2025,51
