country,year,tiv
Gabon,1950,
Gabon,1951,
Gabon,1952,
Gabon,1953,
Gabon,1954,
Gabon,1955,
Gabon,1956,
Gabon,1957,
Gabon,1958,
Gabon,1959,
Gabon,1960,
Gabon,1961,3
Gabon,1962,
Gabon,1963,
Gabon,1964,3
Gabon,1965,0
Gabon,1966,2
Gabon,1967,
Gabon,1968,4
Gabon,1969,4
Gabon,1970,1
Gabon,1971,24
Gabon,1972,
Gabon,1973,2
Gabon,1974,11
Gabon,1975,34
Gabon,1976,47
Gabon,1977,28
Gabon,1978,76
Gabon,1979,
Gabon,1980,33
Gabon,1981,36
Gabon,1982,5
Gabon,1983,11
Gabon,1984,100
Gabon,1985,3
Gabon,1986,8
Gabon,1987,10
Gabon,1988,22
Gabon,1989,
Gabon,1990,29
Gabon,1991,
Gabon,1992,
Gabon,1993,
Gabon,1994,
Gabon,1995,
Gabon,1996,
Gabon,1997,
Gabon,1998,
Gabon,1999,
Gabon,2000,
Gabon,2001,
Gabon,2002,
Gabon,2003,
Gabon,2004,7
Gabon,2005,
Gabon,2006,20
Gabon,2007,18
Gabon,2008,
Gabon,2009,
Gabon,2010,27
Gabon,2011,5
Gabon,2012,1
Gabon,2013,2
Gabon,2014,
Gabon,2015,5
Gabon,2016,3
Gabon,2017,
Gabon,2018,
Gabon,2019,26
Gabon,2020,
Gabon,2021,2
Gabon,2022,
Gabon,2023,16
Gabon,2024,6
Gabon,2025,
