country,year,tiv
Gambia,1950,
Gambia,1951,
Gambia,1952,
Gambia,1953,
Gambia,1954,
Gambia,1955,
Gambia,1956,
Gambia,1957,
Gambia,1958,
Gambia,1959,
Gambia,1960,
Gambia,1961,
Gambia,1962,
Gambia,1963,
Gambia,1964,
Gambia,1965,
Gambia,1966,
Gambia,1967,
Gambia,1968,
Gambia,1969,0
Gambia,1970,
Gambia,1971,
Gambia,1972,
Gambia,1973,
Gambia,1974,
Gambia,1975,
Gambia,1976,
Gambia,1977,
Gambia,1978,
Gambia,1979,
Gambia,1980,
Gambia,1981,3
Gambia,1982,
Gambia,1983,
Gambia,1984,
Gambia,1985,
Gambia,1986,
Gambia,1987,
Gambia,1988,
Gambia,1989,12
Gambia,1990,
Gambia,1991,
Gambia,1992,
Gambia,1993,
Gambia,1994,
Gambia,1995,
Gambia,1996,
Gambia,1997,
Gambia,1998,
Gambia,1999,
Gambia,2000,
Gambia,2001,
Gambia,2002,
Gambia,2003,
Gambia,2004,5
Gambia,2005,
Gambia,2006,
Gambia,2007,
Gambia,2008,
Gambia,2009,16
Gambia,2010,
Gambia,2011,
Gambia,2012,
Gambia,2013,
Gambia,2014,
Gambia,2015,
Gambia,2016,
Gambia,2017,
Gambia,2018,
Gambia,2019,
Gambia,2020,
Gambia,2021,
Gambia,2022,1
Gambia,2023,0
Gambia,2024,
Gambia,2025,1
