country,year,tiv
Georgia,1950,
Georgia,1951,
Georgia,1952,
Georgia,1953,
Georgia,1954,
Georgia,1955,
Georgia,1956,
Georgia,1957,
Georgia,1958,
Georgia,1959,
Georgia,1960,
Georgia,1961,
Georgia,1962,
Georgia,1963,
Georgia,1964,
Georgia,1965,
Georgia,1966,
Georgia,1967,
Georgia,1968,
Georgia,1969,
Georgia,1970,
Georgia,1971,
Georgia,1972,
Georgia,1973,
Georgia,1974,
Georgia,1975,
Georgia,1976,
Georgia,1977,
Georgia,1978,
Georgia,1979,
Georgia,1980,
Georgia,1981,
Georgia,1982,
Georgia,1983,
Georgia,1984,
Georgia,1985,
Georgia,1986,
Georgia,1987,
Georgia,1988,
Georgia,1989,
Georgia,1990,
Georgia,1991,
Georgia,1992,
Georgia,1993,4
Georgia,1994,
Georgia,1995,
Georgia,1996,
Georgia,1997,4
Georgia,1998,28
Georgia,1999,23
Georgia,2000,6
Georgia,2001,85
Georgia,2002,
Georgia,2003,1
Georgia,2004,38
Georgia,2005,95
Georgia,2006,97
Georgia,2007,161
Georgia,2008,132
Georgia,2009,38
Georgia,2010,
Georgia,2011,2
Georgia,2012,9
Georgia,2013,5
Georgia,2014,1
Georgia,2015,
Georgia,2016,
Georgia,2017,7
Georgia,2018,41
Georgia,2019,6
Georgia,2020,
Georgia,2021,
Georgia,2022,2
Georgia,2023,0
Georgia,2024,15
Georgia,2025,
