country,year,tiv
Germany,1950,
Germany,1951,
Germany,1952,
Germany,1953,
Germany,1954,
Germany,1955,16
Germany,1956,1560
Germany,1957,2230
Germany,1958,2774
Germany,1959,1482
Germany,1960,2036
Germany,1961,2093
Germany,1962,2501
Germany,1963,3312
Germany,1964,3828
Germany,1965,3515
Germany,1966,3387
Germany,1967,1385
Germany,1968,1249
Germany,1969,1233
Germany,1970,1257
Germany,1971,2240
Germany,1972,796
Germany,1973,1721
Germany,1974,2141
Germany,1975,1831
Germany,1976,1357
Germany,1977,1012
Germany,1978,661
Germany,1979,65
Germany,1980,150
Germany,1981,261
Germany,1982,453
Germany,1983,434
Germany,1984,412
Germany,1985,130
Germany,1986,322
Germany,1987,340
Germany,1988,447
Germany,1989,701
Germany,1990,757
Germany,1991,750
Germany,1992,716
Germany,1993,529
Germany,1994,417
Germany,1995,222
Germany,1996,244
Germany,1997,60
Germany,1998,618
Germany,1999,129
Germany,2000,113
Germany,2001,133
Germany,2002,71
Germany,2003,70
Germany,2004,245
Germany,2005,206
Germany,2006,413
Germany,2007,46
Germany,2008,277
Germany,2009,329
Germany,2010,301
Germany,2011,79
Germany,2012,140
Germany,2013,103
Germany,2014,77
Germany,2015,119
Germany,2016,55
Germany,2017,43
Germany,2018,14
Germany,2019,38
Germany,2020,105
Germany,2021,235
Germany,2022,269
Germany,2023,203
Germany,2024,240
Germany,2025,1632
