country,year,tiv
Ghana,1950,
Ghana,1951,
Ghana,1952,
Ghana,1953,
Ghana,1954,
Ghana,1955,
Ghana,1956,
Ghana,1957,
Ghana,1958,
Ghana,1959,1
Ghana,1960,12
Ghana,1961,107
Ghana,1962,20
Ghana,1963,6
Ghana,1964,40
Ghana,1965,40
Ghana,1966,24
Ghana,1967,1
Ghana,1968,
Ghana,1969,
Ghana,1970,
Ghana,1971,
Ghana,1972,12
Ghana,1973,13
Ghana,1974,19
Ghana,1975,28
Ghana,1976,39
Ghana,1977,
Ghana,1978,18
Ghana,1979,7
Ghana,1980,38
Ghana,1981,48
Ghana,1982,
Ghana,1983,
Ghana,1984,
Ghana,1985,5
Ghana,1986,
Ghana,1987,13
Ghana,1988,
Ghana,1989,2
Ghana,1990,4
Ghana,1991,1
Ghana,1992,
Ghana,1993,
Ghana,1994,11
Ghana,1995,
Ghana,1996,7
Ghana,1997,5
Ghana,1998,
Ghana,1999,8
Ghana,2000,1
Ghana,2001,12
Ghana,2002,1
Ghana,2003,6
Ghana,2004,37
Ghana,2005,0
Ghana,2006,
Ghana,2007,16
Ghana,2008,
Ghana,2009,6
Ghana,2010,2
Ghana,2011,76
Ghana,2012,39
Ghana,2013,52
Ghana,2014,17
Ghana,2015,13
Ghana,2016,22
Ghana,2017,
Ghana,2018,0
Ghana,2019,2
Ghana,2020,12
Ghana,2021,
Ghana,2022,40
Ghana,2023,8
Ghana,2024,11
Ghana,2025,5
