country,year,tiv
Guatemala,1950,
Guatemala,1951,6
Guatemala,1952,
Guatemala,1953,
Guatemala,1954,2
Guatemala,1955,8
Guatemala,1956,6
Guatemala,1957,
Guatemala,1958,
Guatemala,1959,5
Guatemala,1960,16
Guatemala,1961,
Guatemala,1962,1
Guatemala,1963,7
Guatemala,1964,8
Guatemala,1965,5
Guatemala,1966,
Guatemala,1967,1
Guatemala,1968,16
Guatemala,1969,1
Guatemala,1970,
Guatemala,1971,46
Guatemala,1972,1
Guatemala,1973,0
Guatemala,1974,15
Guatemala,1975,47
Guatemala,1976,15
Guatemala,1977,1
Guatemala,1978,1
Guatemala,1979,5
Guatemala,1980,8
Guatemala,1981,49
Guatemala,1982,16
Guatemala,1983,1
Guatemala,1984,7
Guatemala,1985,25
Guatemala,1986,2
Guatemala,1987,
Guatemala,1988,
Guatemala,1989,4
Guatemala,1990,
Guatemala,1991,
Guatemala,1992,
Guatemala,1993,13
Guatemala,1994,4
Guatemala,1995,4
Guatemala,1996,2
Guatemala,1997,
Guatemala,1998,1
Guatemala,1999,
Guatemala,2000,
Guatemala,2001,
Guatemala,2002,
Guatemala,2003,
Guatemala,2004,
Guatemala,2005,
Guatemala,2006,
Guatemala,2007,
Guatemala,2008,0
Guatemala,2009,
Guatemala,2010,
Guatemala,2011,
Guatemala,2012,2
Guatemala,2013,
Guatemala,2014,
Guatemala,2015,33
Guatemala,2016,
Guatemala,2017,
Guatemala,2018,4
Guatemala,2019,14
Guatemala,2020,
Guatemala,2021,
Guatemala,2022,10
Guatemala,2023,6
Guatemala,2024,
Guatemala,2025,
