country,year,tiv
Guinea-Bissau,1950,
Guinea-Bissau,1951,
Guinea-Bissau,1952,
Guinea-Bissau,1953,
Guinea-Bissau,1954,
Guinea-Bissau,1955,
Guinea-Bissau,1956,
Guinea-Bissau,1957,
Guinea-Bissau,1958,
Guinea-Bissau,1959,
Guinea-Bissau,1960,
Guinea-Bissau,1961,
Guinea-Bissau,1962,
Guinea-Bissau,1963,
Guinea-Bissau,1964,
Guinea-Bissau,1965,
Guinea-Bissau,1966,
Guinea-Bissau,1967,
Guinea-Bissau,1968,
Guinea-Bissau,1969,
Guinea-Bissau,1970,
Guinea-Bissau,1971,
Guinea-Bissau,1972,
Guinea-Bissau,1973,
Guinea-Bissau,1974,21
Guinea-Bissau,1975,12
Guinea-Bissau,1976,14
Guinea-Bissau,1977,
Guinea-Bissau,1978,14
Guinea-Bissau,1979,24
Guinea-Bissau,1980,2
Guinea-Bissau,1981,1
Guinea-Bissau,1982,
Guinea-Bissau,1983,
Guinea-Bissau,1984,11
Guinea-Bissau,1985,
Guinea-Bissau,1986,35
Guinea-Bissau,1987,
Guinea-Bissau,1988,20
Guinea-Bissau,1989,
Guinea-Bissau,1990,22
Guinea-Bissau,1991,6
Guinea-Bissau,1992,
Guinea-Bissau,1993,5
Guinea-Bissau,1994,
Guinea-Bissau,1995,
Guinea-Bissau,1996,
Guinea-Bissau,1997,
Guinea-Bissau,1998,
Guinea-Bissau,1999,
Guinea-Bissau,2000,
Guinea-Bissau,2001,
Guinea-Bissau,2002,
Guinea-Bissau,2003,
Guinea-Bissau,2004,
Guinea-Bissau,2005,
Guinea-Bissau,2006,
Guinea-Bissau,2007,
Guinea-Bissau,2008,
Guinea-Bissau,2009,
Guinea-Bissau,2010,
Guinea-Bissau,2011,
Guinea-Bissau,2012,
Guinea-Bissau,2013,
Guinea-Bissau,2014,
Guinea-Bissau,2015,
Guinea-Bissau,2016,
Guinea-Bissau,2017,
Guinea-Bissau,2018,
Guinea-Bissau,2019,
Guinea-Bissau,2020,
Guinea-Bissau,2021,
Guinea-Bissau,2022,
Guinea-Bissau,2023,
Guinea-Bissau,2024,
Guinea-Bissau,2025,
