country,year,tiv
Guinea,1950,
Guinea,1951,
Guinea,1952,
Guinea,1953,
Guinea,1954,
Guinea,1955,
Guinea,1956,
Guinea,1957,
Guinea,1958,
Guinea,1959,18
Guinea,1960,33
Guinea,1961,2
Guinea,1962,
Guinea,1963,0
Guinea,1964,0
Guinea,1965,18
Guinea,1966,
Guinea,1967,7
Guinea,1968,
Guinea,1969,0
Guinea,1970,1
Guinea,1971,4
Guinea,1972,5
Guinea,1973,18
Guinea,1974,24
Guinea,1975,2
Guinea,1976,18
Guinea,1977,8
Guinea,1978,45
Guinea,1979,69
Guinea,1980,
Guinea,1981,1
Guinea,1982,1
Guinea,1983,1
Guinea,1984,
Guinea,1985,
Guinea,1986,39
Guinea,1987,
Guinea,1988,
Guinea,1989,40
Guinea,1990,1
Guinea,1991,1
Guinea,1992,
Guinea,1993,
Guinea,1994,
Guinea,1995,
Guinea,1996,
Guinea,1997,
Guinea,1998,4
Guinea,1999,
Guinea,2000,26
Guinea,2001,6
Guinea,2002,
Guinea,2003,2
Guinea,2004,
Guinea,2005,1
Guinea,2006,
Guinea,2007,0
Guinea,2008,
Guinea,2009,
Guinea,2010,5
Guinea,2011,1
Guinea,2012,4
Guinea,2013,
Guinea,2014,5
Guinea,2015,
Guinea,2016,
Guinea,2017,2
Guinea,2018,1
Guinea,2019,4
Guinea,2020,
Guinea,2021,1
Guinea,2022,
Guinea,2023,1
Guinea,2024,6
Guinea,2025,6
