country,year,tiv
Guyana,1950,
Guyana,1951,
Guyana,1952,
Guyana,1953,
Guyana,1954,
Guyana,1955,
Guyana,1956,
Guyana,1957,
Guyana,1958,
Guyana,1959,
Guyana,1960,
Guyana,1961,
Guyana,1962,
Guyana,1963,
Guyana,1964,
Guyana,1965,
Guyana,1966,
Guyana,1967,
Guyana,1968,0
Guyana,1969,
Guyana,1970,
Guyana,1971,2
Guyana,1972,
Guyana,1973,
Guyana,1974,3
Guyana,1975,0
Guyana,1976,16
Guyana,1977,5
Guyana,1978,1
Guyana,1979,5
Guyana,1980,4
Guyana,1981,14
Guyana,1982,
Guyana,1983,3
Guyana,1984,7
Guyana,1985,23
Guyana,1986,
Guyana,1987,
Guyana,1988,
Guyana,1989,
Guyana,1990,
Guyana,1991,
Guyana,1992,
Guyana,1993,
Guyana,1994,
Guyana,1995,
Guyana,1996,
Guyana,1997,
Guyana,1998,
Guyana,1999,
Guyana,2000,
Guyana,2001,7
Guyana,2002,3
Guyana,2003,
Guyana,2004,0
Guyana,2005,
Guyana,2006,
Guyana,2007,
Guyana,2008,0
Guyana,2009,
Guyana,2010,
Guyana,2011,
Guyana,2012,
Guyana,2013,
Guyana,2014,
Guyana,2015,
Guyana,2016,
Guyana,2017,
Guyana,2018,0
Guyana,2019,2
Guyana,2020,
Guyana,2021,5
Guyana,2022,
Guyana,2023,5
Guyana,2024,9
Guyana,2025,5
