country,year,tiv
Haiti,1950,4
Haiti,1951,
Haiti,1952,3
Haiti,1953,
Haiti,1954,
Haiti,1955,
Haiti,1956,4
Haiti,1957,1
Haiti,1958,
Haiti,1959,
Haiti,1960,6
Haiti,1961,
Haiti,1962,
Haiti,1963,
Haiti,1964,1
Haiti,1965,
Haiti,1966,
Haiti,1967,
Haiti,1968,
Haiti,1969,8
Haiti,1970,
Haiti,1971,
Haiti,1972,
Haiti,1973,5
Haiti,1974,5
Haiti,1975,1
Haiti,1976,1
Haiti,1977,0
Haiti,1978,9
Haiti,1979,
Haiti,1980,
Haiti,1981,3
Haiti,1982,4
Haiti,1983,3
Haiti,1984,
Haiti,1985,10
Haiti,1986,
Haiti,1987,
Haiti,1988,
Haiti,1989,
Haiti,1990,
Haiti,1991,
Haiti,1992,
Haiti,1993,
Haiti,1994,
Haiti,1995,
Haiti,1996,
Haiti,1997,
Haiti,1998,
Haiti,1999,
Haiti,2000,
Haiti,2001,
Haiti,2002,
Haiti,2003,
Haiti,2004,
Haiti,2005,
Haiti,2006,
Haiti,2007,
Haiti,2008,
Haiti,2009,
Haiti,2010,
Haiti,2011,
Haiti,2012,
Haiti,2013,
Haiti,2014,
Haiti,2015,
Haiti,2016,
Haiti,2017,
Haiti,2018,
Haiti,2019,
Haiti,2020,
Haiti,2021,
Haiti,2022,
Haiti,2023,
Haiti,2024,
Haiti,2025,1
