country,year,tiv
Haiti rebels*,1950,
Haiti rebels*,1951,
Haiti rebels*,1952,
Haiti rebels*,1953,
Haiti rebels*,1954,
Haiti rebels*,1955,
Haiti rebels*,1956,
Haiti rebels*,1957,
Haiti rebels*,1958,
Haiti rebels*,1959,
Haiti rebels*,1960,
Haiti rebels*,1961,
Haiti rebels*,1962,
Haiti rebels*,1963,
Haiti rebels*,1964,
Haiti rebels*,1965,
Haiti rebels*,1966,
Haiti rebels*,1967,
Haiti rebels*,1968,
Haiti rebels*,1969,7
Haiti rebels*,1970,
Haiti rebels*,1971,
Haiti rebels*,1972,
Haiti rebels*,1973,
Haiti rebels*,1974,
Haiti rebels*,1975,
Haiti rebels*,1976,
Haiti rebels*,1977,
Haiti rebels*,1978,
Haiti rebels*,1979,
Haiti rebels*,1980,
Haiti rebels*,1981,
Haiti rebels*,1982,
Haiti rebels*,1983,
Haiti rebels*,1984,
Haiti rebels*,1985,
Haiti rebels*,1986,
Haiti rebels*,1987,
Haiti rebels*,1988,
Haiti rebels*,1989,
Haiti rebels*,1990,
Haiti rebels*,1991,
Haiti rebels*,1992,
Haiti rebels*,1993,
Haiti rebels*,1994,
Haiti rebels*,1995,
Haiti rebels*,1996,
Haiti rebels*,1997,
Haiti rebels*,1998,
Haiti rebels*,1999,
Haiti rebels*,2000,
Haiti rebels*,2001,
Haiti rebels*,2002,
Haiti rebels*,2003,
Haiti rebels*,2004,
Haiti rebels*,2005,
Haiti rebels*,2006,
Haiti rebels*,2007,
Haiti rebels*,2008,
Haiti rebels*,2009,
Haiti rebels*,2010,
Haiti rebels*,2011,
Haiti rebels*,2012,
Haiti rebels*,2013,
Haiti rebels*,2014,
Haiti rebels*,2015,
Haiti rebels*,2016,
Haiti rebels*,2017,
Haiti rebels*,2018,
Haiti rebels*,2019,
Haiti rebels*,2020,
Haiti rebels*,2021,
Haiti rebels*,2022,
Haiti rebels*,2023,
Haiti rebels*,2024,
Haiti rebels*,2025,
