country,year,tiv
Hamas (Palestine)*,1950,
Hamas (Palestine)*,1951,
Hamas (Palestine)*,1952,
Hamas (Palestine)*,1953,
Hamas (Palestine)*,1954,
Hamas (Palestine)*,1955,
Hamas (Palestine)*,1956,
Hamas (Palestine)*,1957,
Hamas (Palestine)*,1958,
Hamas (Palestine)*,1959,
Hamas (Palestine)*,1960,
Hamas (Palestine)*,1961,
Hamas (Palestine)*,1962,
Hamas (Palestine)*,1963,
Hamas (Palestine)*,1964,
Hamas (Palestine)*,1965,
Hamas (Palestine)*,1966,
Hamas (Palestine)*,1967,
Hamas (Palestine)*,1968,
Hamas (Palestine)*,1969,
Hamas (Palestine)*,1970,
Hamas (Palestine)*,1971,
Hamas (Palestine)*,1972,
Hamas (Palestine)*,1973,
Hamas (Palestine)*,1974,
Hamas (Palestine)*,1975,
Hamas (Palestine)*,1976,
Hamas (Palestine)*,1977,
Hamas (Palestine)*,1978,
Hamas (Palestine)*,1979,
Hamas (Palestine)*,1980,
Hamas (Palestine)*,1981,
Hamas (Palestine)*,1982,
Hamas (Palestine)*,1983,
Hamas (Palestine)*,1984,
Hamas (Palestine)*,1985,
Hamas (Palestine)*,1986,
Hamas (Palestine)*,1987,
Hamas (Palestine)*,1988,
Hamas (Palestine)*,1989,
Hamas (Palestine)*,1990,
Hamas (Palestine)*,1991,
Hamas (Palestine)*,1992,
Hamas (Palestine)*,1993,
Hamas (Palestine)*,1994,
Hamas (Palestine)*,1995,
Hamas (Palestine)*,1996,
Hamas (Palestine)*,1997,
Hamas (Palestine)*,1998,
Hamas (Palestine)*,1999,
Hamas (Palestine)*,2000,
Hamas (Palestine)*,2001,
Hamas (Palestine)*,2002,
Hamas (Palestine)*,2003,
Hamas (Palestine)*,2004,
Hamas (Palestine)*,2005,
Hamas (Palestine)*,2006,
Hamas (Palestine)*,2007,
Hamas (Palestine)*,2008,
Hamas (Palestine)*,2009,
Hamas (Palestine)*,2010,1
Hamas (Palestine)*,2011,2
Hamas (Palestine)*,2012,
Hamas (Palestine)*,2013,
Hamas (Palestine)*,2014,0
Hamas (Palestine)*,2015,
Hamas (Palestine)*,2016,
Hamas (Palestine)*,2017,
Hamas (Palestine)*,2018,
Hamas (Palestine)*,2019,
Hamas (Palestine)*,2020,
Hamas (Palestine)*,2021,
Hamas (Palestine)*,2022,
Hamas (Palestine)*,2023,
Hamas (Palestine)*,2024,
Hamas (Palestine)*,2025,
